title,year,conference
 Augmenting image classifiers usingdata augmentation generative adversarial networks,2018, In Artificial Neural Networks and MachineLearning
 Neural voice cloning with afew samples,2018, In Advances in Neural Information Processing Systems
 Multiple-observation hypothesis testing under adversarial con-ditions,2013, In 2013 IEEE International Workshop on Information Forensics and Security
 Adversarialhypothesis testing and a quantum stein’s lemma for restricted measurements,2014, In Innovations inTheoretical Computer Science
 Stackelberg games for adversarial prediction problems,2011, InProceedings of the 17th ACM SIGKDD International Conference on Knowledge Discovery andData Mining
 Static prediction games for adversariallearning problems,2012, J
 Voxceleb2: Deep speaker recognition,2018, InInterspeech
 Arcface: Additive angular margin loss for deepface recognition,2018, arXiv preprint arXiv:1801
 Towards a neural statistician,2017, In International Conference onLearning Representations
 Model-agnostic meta-learning for fast adaptationof deep networks,2017, CoRR
 Explaining and harnessing adversarialexamples,2014, In International Conference on Learning Representations
 Arbitrary style transfer in real-time with adaptive instance nor-malization,2017, In IEEE International Conference on Computer Vision
 Multimodal unsupervised image-to-image translation,2018, In Proceedings of the European Conference on Computer Vision
 Perceptual losses for real-time style transfer andsuper-resolution,2016, In European Conference on Computer Vision
 A style-based generator architecture for generativeadversarial networks,2018, arXiv preprint arXiv:1812
 Adam: A method for stochastic optimization,2015, In InternationalConference on Learning Representations
 Siamese neural networks for one-shotimage recognition,2015, In ICML deep learning workshop
 One shot learningof simple visual concepts,2011, In Proceedings of the 33th Annual Meeting of the Cognitive ScienceSociety
 Human-level concept learningthrough probabilistic program induction,2015, Science
 Conditional generative adversarial nets,2014, arXiv preprintarXiv:1411
 Practical black-box attacks against machine learning,2017, In Proceedings of the 2017 ACMon Asia conference on computer and communications security
 Semantic image synthesis withspatially-adaptive normalization,2019, CoRR
 Certified defenses against adversarial exam-ples,2018, In International Conference on Learning Representations
 Facenet: A unified embedding for facerecognition and clustering,2015, In The IEEE Conference on Computer Vision and Pattern Recognition
 A simple explanation for the existence ofadversarial examples with small hamming distance,2019, CoRR
 Prototypical networks for few-shot learning,2017, InAdvances in Neural Information Processing Systems
 Constructing unrestricted adversarialexamples with generative models,2018, In S
 Matchingnetworks for one shot learning,2016, In Advances in Neural Information Processing Systems
 Scaling provable adversarialdefenses,2018, In S
 Wasserstein adversarial examples via projectedsinkhorn iterations,2019, In Proceedings of the 36th International Conference on Machine Learning
 Adversarial examples:Attacks and defenses for deep learning,2017, CoRR
 Few-shot adversariallearning of realistic neural talking head models,2019, CoRR
 A survey of game theoretic approach for adversarialmachine learning,2019, Wiley Interdiscip
 Unpaired image-to-image translationusing cycle-consistent adversarial networks,2017, In Proceedings of the IEEE international conferenceon computer vision
