title,year,conference
 A natural policy gradient,2001, In NIPS
 Adam: A method for stochastic optimization,2014,	CoRR
 Simple random search provides a competitiveapproach to reinforcement learning,2018, CoRR
 Playing atari with deep reinforcement learning,2013, In NeurIPS DeepLearning Workshop
 Relative entropy policy search,2010, In AAAI
 Towards general-ization and simplicity in continuous control,2017, In NIPS
 Trust regionpolicy optimization,2015, In International Conference on Machine Learning
 High-dimensional continuous control using generalized advantage estimation,2015, arXiv preprintarXiv:1506
 Proximal policyoptimization algorithms,2017, arXiv preprint arXiv:1707
 Mastering the game of gowithout human knowledge,2017, Nature
 Policy gradientmethods for reinforcement learning with function approximation,1999, In NIPS
 The mirage of action-dependent baselines in reinforcement learning,2018, In ICML
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning,1992, Machine Learning
