title,year,conference
 High-dimensional dynamics of generalization error in neuralnetworks,2017, arXiv preprint arXiv:1710
 Benign ovefitting in linearregression,2019, arXiv preprint arXiv:1906
 Reconciling modern machine learningand the bias-variance trade-off,2018, arXiv preprint arXiv:1812
 A new look at an old problem: A universal learningapproach to linear regression,2019, arXiv preprint arXiv:1905
 Wit3 : Web inventory of transcribed andtranslated talks,2012, In Proceedings of the 16th Conference of the European Association for MachineTranslation (EAMT)
 Classifiers in almost empty spaces,2000, In Proceedings 15th International Conferenceon Pattern Recognition
 Scaling description of generalization withnumber of parameters in deep learning,2019, arXiv preprint arXiv:1901
 Jamming transition as a paradigm to understand the loss landscape of deepneural networks,2019, Physical Review E
 Explaining and harnessing adversarialexamples,2014, arXiv preprint arXiv:1412
 Surprises in high-dimensional ridgeless least squares interpolation,2019, arXiv preprint arXiv:1903
 Identity mappings in deep residualnetworks,2016, In European conference on computer vision
 Learning multiple layers of features from tiny images,2009, Technical report
 Imagenet classification with deep convo-lutional neural networks,2012, In Advances in neural information processing systems
 The generalization error of random features regression: Preciseasymptotics and double descent curve,2019, arXiv preprint arXiv:1908
 Understanding overfitting peaks in generalization error: Analytical risk curves forl2 and l1 penalized interpolation,2019, ArXiv
 Harmless interpolation of noisy data inregression,2019, arXiv preprint arXiv:1903
 Sgd on neural networks learns functions of increasing complexity,2019, arXivpreprint arXiv:1905
 Statistical mechanics of learning: Generalization,1995, The Handbook of Brain Theoryand Neural Networks
 Learning to generalize,2001, Frontiers of Life
 Automatic differentiation inPyTorch,2017, In NeurIPS Autodiff Workshop
 Languagemodels are unsupervised multitask learners,2019, 2019
 Random features for large-scale kernel machines,2008, In Advances inneural information processing systems
 Neural machine translation of rare words withsubword units,2015, ArXiv
 Going deeper with convolutions,2015, InComputer Vision and Pattern Recognition (CVPR)
 A problem of dimensionality: A simple example,1979, IEEE Transactions on patternanalysis and machine intelligence
 Attention is all you need,2017, CoRR
 Understandingdeep learning requires rethinking generalization,2016, ICLR
