title,year,conference
 Task2vec: Task embedding for meta-learning,2019, arXivpreprint arXiv:1902
 Autoaugment:Learning augmentation policies from data,2018, arXiv preprint arXiv:1805
 Large scale fine-grainedcategorization and domain-specific transfer learning,2018, In CVPR
 Decaf: A deep convolutional activation feature for generic visual recognition,2014, In ICML
 Rich feature hierarchies for accurateobject detection and semantic segmentation,2014, In CVPR
 Why momentum really works,2017, Distill
 Caltech-256 object category dataset,2007, 2007
 ComParing biases for minimal network construction withback-ProPagation,1989, In NIPS
 Identity maPPings in deeP residualnetworks,2016, In ECCV
 DeeP residual learning for imagerecognition,2016, In CVPR
 Mask R-CNN,2017, In ICCV
 Rethinking imagenet Pre-training,2019, In ICCV
 Introduction to the theory of neural comPutation,1991, 1991
 Mobilenets: Efficient convolutional neural networks formobile vision aPPlications,2017, arXiv preprint arXiv:1704
 Densely connectedconvolutional networks,2017, In CVPR
 Batch normalization: Accelerating deeP network training byreducing internal covariate shift,2015, In ICML
 Imagenet classification with deeP convolu-tional neural networks,2012, In NIPS
 Delta: DeePlearning transfer using feature maP with attention for convolutional networks,2019, In ICLR
 Explicit inductive bias for transfer learning withconvolutional networks,2018, In ICML
 Toward deeper understanding of noncon-vex stochastic optimization with momentum using diffusion approximations,2018, arXiv preprintarXiv:1802
 Fine-grained visual classification ofaircraft,2013, Technical report
 Comparison of deep transfer learning strategiesfor digital pathology,2018, In CVPR Workshops
 Some methods of speeding up the convergence of iteration methods,1964, USSRComputational Mathematics and Mathematical Physics
 Transfusion: Understandingtransfer learning with applications to medical imaging,2019, In NIPS
 Faster r-cnn: Towards real-time objectdetection with region proposal networks,2015, In NIPS
 ImageNetLarge Scale Visual Recognition Challenge,2015, IJCV
 Cnn featuresoff-the-shelf: an astounding baseline for recognition,2014, In CVPR workshops
 Very deep convolutional networks for large-scale imagerecognition,2015, In ICLR
 Cyclical learning rates for training neural networks,2017, In WACV
 A bayesian perspective on generalization and stochastic gradientdescent,2018, In ICLR
 Revisiting unreasonableeffectiveness of data in deep learning era,2017, In CVPR
 On the importance of initializationand momentum in deep learning,2013, In ICML
 Going deeper with convolutions,2015, In CVPR
 The inaturalist species classification and detection dataset,2018, InCVPR
 Bag of tricks forimage classification with convolutional neural networks,2018, arXiv preprint arXiv:1812
 Yellowfin and the art of momentum tuning,2017, arXiv preprintarXiv:1706
