title,year,conference
 Emergence of Invariance and Disentanglement in DeepRepresentations,2018, JMLR
 Deep Variational Informa-tion Bottleneck,2017, In ICLR
 Learning Representations by Maximiz-ing Mutual Information Across Views,2019, arXiv
 The im algorithm: A variational approach to information maxi-mization,2003, In NIPS
 Understanding disentangling in β-VAE,2018, arXiv
 Variational Lossy Autoencoder,2017, In ICLR
 Imagenet: A large-scale hierarchicalimage database,2009, In CVPR
 Bert: Pre-training of deepbidirectional transformers for language understanding,2018, arXiv
 Learning deep representations by mutual information estimationand maximization,2019, In ICLR
 Semantically tied paired cycle consistency for zero-shot sketch-based image retrieval,2019, In CVPR
 Iterative quantization: A procrustean approachto learning binary codes for large-scale image retrieval,2013, TPAMI
 PixelVAE: A Latent Variable Model for Natural Images,2017, In ICLR
 Data-Efficient Image Recognition with Contrastive Predictive Coding,2019, arXiv
 Multilingual Distributed Representations without WordAlignment,2014, In ICLR
 beta-vae: Learning basic visual concepts with aconstrained variational framework,2017, In ICLR
 Deep neural networksfor acoustic modeling in speech recognition,2012, SPM
 The mir flickr retrieval evaluation,2008, In ICMIR
 MINE: Mutual Information Neural Estimation,2018, In ICML
 Invariant Information Clustering for UnsupervisedImage Classification and Segmentation,2019, In ICCV
 Variational Inference with Normalizing Flows,2015, InICML
 Auto-Encoding Variational Bayes,2014, In ICLR
 Im-proved variational inference with inverse autoregressive flow,2016, In NIPS
 Deep learning,2015, Nature
 Self-organization in a perceptual network,1988, Computer
 Deep Sketch Hashing: FastFree-hand Sketch-Based Image Retrieval,2017, In CVPR
 Multi-modal deep learning,2011, In ICML
 Estimating divergence functionalsand the likelihood ratio by convex risk minimization,2008, In NIPS
 On Varia-tional Bounds of Mutual Information,2019, In ICML
 Sketch-based image retrieval via siamese convolutional neuralnetwork,2016, In ICIP
 Languagemodels are unsupervised multitask learners,2019, OpenAI Blog
 The sketchy database: learning toretrieve badly drawn bunnies,2016, ACM TOG
 Very Deep Convolutional Networks for Large-Scale ImageRecognition,2014, arXiv
 Improved multimodal deep learning with variationof information,2014, In NIPS
 Imagenet classification with deep convolu-tional neural networks,2012, In NIPS
 Contrastive Multiview Coding,2019, arXiv
 Deep Learning and the Information Bottleneck Principle,2015, InITW
 The information bottleneck method,2000, arXiv
 VAE with a VampPrior,2018, In AISTATS
 OnMutual Information Maximization for Representation Learning,2019, arXiv
 Representation Learning with Contrastive Pre-dictive Coding,2018, arXiv
 Deep multi-view infor-mation bottleneck,2019, In SIAM
 Deep Variational Canonical Corre-lation Analysis,2016, arXiv
 Sketch-a-Net that BeatsHumans,2017, IJCV
 Generative domain-migration hashing for sketch-to-image retrieval,2018, In ECCV
 Multi-view learning overview: Recent progressand new challenges,2017, IF
