title,year,conference
 MixhoP: Higher-order graPh convolution architec-tures via sParsified neighborhood mixing,2019, arXiv preprint arXiv:1905
 SPectral networks and locallyconnected networks on graPhs,2013, CoRR
 Stochastic training of graPh convolutional networks withvariance reduction,2018, In ICML
 Fastgcn: Fast learning with graPh convolutional networks viaimPortance samPling,2018, In International Conference on Learning Representations (ICLR)
 Cluster-gcn: An ef-ficient algorithm for training deeP and large graPh convolutional networks,2019, CoRR
 Convolutional neural networks ongraphs with fast localized spectral filtering,2016, In Advances in Neural Information Processing Systems
 Just jump: Dynamic neighborhood aggregation in graph neural networks,2019, CoRR
 Inductive representation learning on large graphs,2017, InAdvances in Neural Information Processing Systems 30
 Deep residual learning for imagerecognition,2015, CoRR
 Long short-term memory,1997, Neural computation
 A survey and taxonomy of graph sampling,2013, arXiv preprintarXiv:1308
 Densely connectedconvolutional networks,2017, In Proceedings of the IEEE conference on computer vision and patternrecognition
 Adaptive sampling towards fast graphrepresentation learning,2018, In Advances in Neural Information Processing Systems
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Personalized embedding propa-gation: Combining neural networks on graphs with personalized pagerank,2018, CoRR
 Higher-order graph convolutional networks,2018, CoRR
 Sampling from large graphs,2006, In Proceedings of the 12th ACMSIGKDD international conference on Knowledge discovery and data mining
 On random walk based graph sampling,2015, In 2015 IEEE31st International Conference on Data Engineering
 Graph star net for generalized multi-tasklearning,2019, CoRR
 Graph attention networks,2017, arXiv preprint arXiv:1710
 Acomprehensive survey on graph neural networks,2019, CoRR
 Representation learning on graphs with jumping knowledge networks,2018, arXiv preprintarXiv:1806
 GraphACT: Accelerating GCN training on CPU-FPGA hetero-geneous platforms,2019, arXiv preprint arXiv:2001
 Gaan: Gated atten-tion networks for learning on large and spatiotemporal graphs,2018, arXiv preprint arXiv:1803
 Graph convolutional networks for molecules,2017, CoRR
