title,year,conference
 Neural machine translation by jointlylearning to align and translate,2015, In International Conference on Learning Representations
 Spectral networks and locallyconnected networks on graphs,2014, In International Conference on Learning Representations
 Semi-supervised classification by low density separation,2005, InProceedings of the Tenth International Workshop on Artificial Intelligence and Statistics
 Mean shift: a robust approach toward feature space analysis,2002, IEEETransactions on Pattern Analysis and Machine Intelligence
 Convolutional neural networkson graphs with fast localized spectral filtering,2016, In Advances in Neural Information ProcessingSystems
 Deep convolutional networks on graph-structureddata,2015, In arXiv:1506
 Semi-supervised classification with graph convolutional net-works,2017, In International Conference on Learning Representations
 Convolutional networks and applicationsin vision,2010, In Proceedings of IEEE International Symposium on Circuits and Systems
 Graph classification Using strUctUral attention,2018, InProceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery DataMining
 Random walks on graphs: a survey,1993, Combinatorics
 Link-based classification,2003, In Proceedings of the 20th InternationalConference on Machine Learning
 Effective approaches to attention-basedneural machine translation,1166, 08 2015
 Geometric deep learning on graphs and manifolds using mixture model cnns,2016, InarXiv:1611
 Learning convolutional neural net-works for graphs,2016, In In Proceedings of The 33rd International Conference on Machine Learning
 Automatic multimediacross-modal correlation discovery,2004, In ACM SIGKDD International Conference on KnowledgeDiscovery and Data Mining
 Deepwalk: Online learning of social repre-sentations,2014, In Proceedings of the 20th ACM SIGKDD international conference on Knowledgediscovery and data mining
 Normalized cuts and image segmentation,2000, IEEE Transactions onPattern Analysis and Machine Intelligence
 Fast random walk with restart and its applica-tions,2006, In Proceedings of the Sixth International Conference on Data Mining
 Graph attention networks,2017, In International Conference on Learning Representations
 Deep learning via semi-supervised embedding,2012, Neural Networks: Tricks of the Trade
 Revisiting semi-supervised learning withgraph embeddings,2016, In International Conference on Machine Learning
 Gresnet: Graph residual network for reviving deep GNNs from sus-pended animation,2019, In arXiv
 Semi-supervised learning using gaussianfields and harmonic functions,2003, In Proceedings of the 20th International conference on Machinelearning
