title,year,conference
 Tensorflow: A system for large-scalemachine learning,2016, In Operating Systems Design and Implementation
 Areductions approach to fair classification,2018, In International Conference on Machine Learning
 Acharacterization of guesswork on swiftly tilting curves,2019, IEEE Transactions on Information Theory
 Towards federated learning atscale: System design,2019, In Conference on Machine Learning and Systems
 Leaf: A benchmark for federated settings,2018, arXiv preprint arXiv:1812
 Optimized pre-processing for discrimination prevention,2017, In Advances in NeuralInformation Processing Systems
 Harmonic mean rate fairness for cognitive radionetworks with heterogeneous traffic,2013, Transactions on Emerging Telecommunications Technologies
 Fairness throughawareness,2012, In Innovations in Theoretical Computer Science
 Congestion control and fairness for many-to-one routing in sensornetworks,2004, In International Conference on Embedded Networked Sensor Systems
 Computational fairness: Preventing machine-learned discrimination,2015, 2015
 Model-agnostic meta-learning for fast adaptation ofdeep networks,2017, In International Conference on Machine Learning
 Equality of opportunity in supervised learning,2016, In Advancesin Neural Information Processing Systems
 Fairness withoutdemographics in repeated loss minimization,2018, In International Conference on Machine Learning
 A quantitative measure of fairness anddiscrimination,1984, Eastern Research Laboratory
 Human-level concept learningthrough probabilistic program induction,2015, Science
 Achieving mac layerfairness in wireless packet networks,2000, In International Conference on Mobile Computing andNetworking
 Glove: Global vectors for wordrepresentation,2014, In Empirical Methods in Natural Language Processing
 Optimal joint base station assignment andbeamforming for heterogeneous networks,2014, IEEE Transactions on Signal Processing
 Communication-efficient distributed optimization usingan approximate newton-type method,2014, In International Conference on Machine Learning
 Federated multi-tasklearning,2017, In Advances in Neural Information Processing Systems
 Local sgd converges fast and communicates little,2019, In International Conference onLearning Representations
 Cooperative sgd: A unified framework for the design and analysis ofcommunication-efficient sgd algorithms,2018, arXiv preprint arXiv:1808
 Learning non-discriminatory predictors,2017, In Conference on Learning Theory
 Fashion-mnist: a novel image dataset for benchmarkingmachine learning algorithms,2017, arXiv preprint arXiv:1708
 Parallel restarted sgd for non-convex optimization with fasterconvergence and less communication,2019, In AAAI Conference on Artificial Intelligence
 Fair-ness constraints: Mechanisms for fair classification,2017, In International Conference on ArtificialIntelligence and Statistics
