title,year,conference
 Data augmentation generative adver-sarial networks,2017, ICLR
 Autoaugment:Learning augmentation policies from data,2019, CVPR
 Imagenet: A large-scalehierarchical image database,2009, CVPR
 Improved regularization of convolutional neural networkswith cutout,2017, CoRR
 Shake-shake regularization,2017, CoRR
 Generative adversarial networks,2014, NIPS
 IRLAS: inverse reinforcementlearning for architecture search,2018, CoRR
 Deli-gan : Generative adversarial networks for diverse and limited data,2017, CVPR
 Deep pyramidal residual networks,2017, CVPR
 Deep residual learning for image recog-nition,2016, CVPR
 Bag of tricks forimage classification with convolutional neural networks,2018, CoRR
 Population based augmentation:Efficient learning of augmentation policy schedules,2019, ICML
 Long short-term memory,1997, Neural Computation
 Data augmentation by pairing samples for images classification,2018, CoRR
 Population based training of neural networks,2017, CoRR
 Adam: A method for stochastic optimization,2015, ICLR
 Imagenet classification with deep convo-lutional neural networks,2012, NIPS
 Smart augmentation - learning an optimaldata augmentation strategy,2017, CoRR
 Onlinehyper-parameter learning for auto-augmentation strategy,2019, CoRR
 Jointly op-timize data augmentation and network training: Adversarial data augmentation in human poseestimation,2018, CVPR
 The effectiveness of data augmentation in image classification usingdeep learning,2017, CoRR
 Invariant representation learn-ing for robust deep networks,2018, NeurIPS Workshop
 A bayesian dataaugmentation approach for learning deep models,2017, NIPS
 Regularization of neuralnetworks using dropconnect,2013, ICML
 A-fast-rcnn: Hard positive generationvia adversary for object detection,2017, CVPR
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning,1992, Machine Learning
 Shakedrop regularization,2018, CoRR
 Neural architecture search with reinforcement learning,2016, ICLR
 Learning transferable architecturesfor scalable image recognition,2017, CVPR
