title,year,conference
 A theory of learning from different domains,2010, Machine learning
 Optimizing the latent spaceof generative networks,2017, arXiv:1707
 Polar decomposition and increasing rearrangement of vector fields,1987, C
 Polar factorization and monotone rearrangement of vector-valued functions,1991, Comm
 A localization property of viscosity solutions to the monge-amp6re equation andtheir strict convexity,1990, Ann
 Some regularity properties of solutions of monge amp6re equation,1991, Comm
 Generative adversarial nets,2014, In NIPS
 Non-adversarial image synthesis with generative latent nearestneighbors,2019, In CVPR
 Disconnected manifold learningfor generative adversarial networks,2018, In Advances in Neural Information Processing Systems
 Adam: A method for stochastic optimization,2015, 2015
 Auto-encoding variational bayes,2013, arXiv:1312
 Convergence of a newton algorithm for semi-discrete optimal transport,2019, JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY
 Learning multiple layers of features from tiny images,2009, Tech report
 MNIST handwritten digit database,2010, 2010
 Gradient-based learning applied todocument recognition,1998, Proceedings of the IEEE
 A geometric view of optimaltransportation and generative mode,2017, Computer Aided Geometric Design
 A geometric understanding of deep learning,2020, Engineering
 Implicit maximum likelihood estimation,2018, arXiv:1809
 Normalized diversification,2018, In CVPR
 Are gans createdequal? a large-scale study,2018, In Advances in neural information processing Systems
 Spectral normalization forgenerative adversarial networks,2018, In ICLR
 Gradient descent gan optimization is locally stable,2017, InAdvances in Neural Information Processing Systems
 Computational Optimal Transport,2018, arxiv: 1803
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2016, In ICLR
 Stochastic backpropagation andapproximate inference in deep generative models,2014, arXiv:1401
 Assessinggenerative models via precision and recall,2018, arXiv:1806
 A global geometric framework for nonlinear dimension-ality reduction,2000, Science
 Sharp asymptotic and finite-sample rates of convergence ofempirical measures in wasserstein distance,2017, arXiv:1707
