title,year,conference
 Node classification in social networks,2011, InSocial network data analytics
 Convolutional neural networks ongraphs with fast localized spectral filtering,2016, In Advances in Neural Information Processing Systems
 Protein interface prediction using graphconvolutional networks,2017, In Advances in Neural Information Processing Systems
 Inductive representation learning on large graphs,2017, InAdvances in Neural Information Processing Systems
 Deep residual learning for imagerecognition,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Densely connectedconvolutional networks,2017, In Proceedings of the IEEE conference on computer vision and patternrecognition
 Adaptive sampling towards fast graphrepresentation learning,2018, In Advances in Neural Information Processing Systems
 Predict then propagate: Graphneural networks meet personalized pagerank,2019, In Proceedings of the 7th International Conferenceon Learning Representations
 Cayleynets: Graph con-volutional neural networks with complex rational spectral filters,2017, IEEE Transactions on SignalProcessing
 Random walks on graphs: A survey,1993, Combinatorics
 Geometric deep learning on graphs and manifolds using mixture model cnns,2017, InProceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Learning convolutional neural networksfor graphs,2016, In International conference on machine learning
 On asymptotic behaviors of graph cnns from dynamical systemsperspective,2019, arXiv preprint arXiv:1905
 Automatic differentiation inPyTorch,2017, In NIPS Autodiff Workshop
 Deepwalk: Online learning of social representa-tions,2014, In Proceedings of the 20th ACM SIGKDD international conference on Knowledge discoveryand data mining
 Rethinkingthe inception architecture for computer vision,2016, In Proceedings of the IEEE conference on computervision and pattern recognition
 Graph attention networks,2018, In ICLR
 Deep graph library: Towards efficient and scalable deep learning ongraphs,2019, ICLR Workshop on Representation Learning on Graphs and Manifolds
 Acomprehensive survey on graph neural networks,2019, arXiv preprint arXiv:1901
 Representation learning on graphs with jumping knowledge networks,2018, In Proceedings ofthe 35th International Conference on Machine Learning
 Representation learning on graphs with jumping knowledge networks,2018, arXiv preprintarXiv:1806
