title,year,conference
 Human associative memory,2014, Psychology press
 On a routing problem,1958, Quarterly of applied mathematics
 Dynamic programming,1966, Science
 Model-free episodic control,2016, arXiv preprintarXiv:1606
 An empirical evaluation of thompson sampling,2011, In Advances inneural information processing systems
 Implicit quantile networks fordistributional reinforcement learning,2018, arXiv preprint arXiv:1806
 Search on the replay buffer: Bridg-ing planning and reinforcement learning,2019, arXiv preprint arXiv:1906
 Learning to play in a day: Faster deepreinforcement learning by optimality tightening,2016, arXiv preprint arXiv:1611
 Mapping state space using landmarks for universal goalreaching,2019, arXiv preprint arXiv:1908
 Auto-encoding variational bayes,2013, arXiv preprintarXiv:1312
 Hippocampal contributions to control: the third way,2008, In Advancesin neural information processing Systems
 Human-levelcontrol through deep reinforcement learning,2015, Nature
 Safe and efficient off-policyreinforcement learning,2016, In Advances in Neural Information Processing Systems
 Self-imitation learning,2018, arXiv preprintarXiv:1806
 Deep exploration viabootstrapped dqn,2016, In Advances in neural information processing systems
 Universal value function approxima-tors,2015, In International Conference on Machine Learning
 Prioritized experience replay,2015, arXivpreprint arXiv:1511
 Proximal policyoptimization algorithms,2017, arXiv preprint arXiv:1707
 Masteringthe game of go with deep neural networks and tree search,2016, nature
 Incentivizing exploration in reinforcementlearning with deep predictive models,2015, arXiv preprint arXiv:1507
 Reinforcement learning: An introduction,2011, 2011
 Deep reinforcement learning with double q-learning,2016, In Thirtieth AAAI conference on artificial intelligence
