title,year,conference
 Center-based clustering under perturbation stability,2012, In InformationProcessing Letters
 Local algorithms for interactive clustering,2014, In ICML
 Learning-theoretic foundations ofalgorithm configuration for combinatorial partitioning problems,2017, Proceedings of the Conference on Learning Theory(COLT)
 Learning to branch,2018, In ICML
 Data-driven clustering via parameterized lloyd’s families,2018, InNeurIPS
 Partition of space,0002, Amer Math
 ImageNet: A Large-Scale Hierarchical Image Database,2009, InCVPR
 Improved analysis of complete linkage clustering,2015, In European Symposium ofAlgorithms
 Learning multiple layers of features from tiny images,2009, In Technical Report
 Imagenet classification with deep convolutional neuralnetworks,2012, In NeurIPS
 Human-level concept learning through probabilisticprogram induction,2015, Science
 Gradient-based learning applied to document recognition,1998, InProceedings of the IEEE
 Softwareclustering techniques and the use of combined algorithm,2003, In European Conference on Software Maintenance andReengineering
 Understanding machine learning: From theory to algorithms,2014, CambridgeUniversity Press
 Very deep convolutional networks for large-scale image recognition,2015, ICLR
 Going deeper with convolutions,2015, In CVPR
 Align-ment and clustering of phylogenetic markers—implications for microbial diversity studies,2010, In BCM Bioinformatics
 Places: A 10 million image databasefor scene recognition,2017, IEEE Transactions on Pattern Analysis and Machine Intelligence
