title,year,conference
 Learning feed-forward one-shot learners,2016, In Advances in Neural Information Processing Systems
 Weight uncertainty inneural network,2015, In International Conference on Machine Learning
 Infogan:Interpretable representation learning by information maximizing generative adversarial nets,2016, InAdvances in Neural Information Processing Systems
 Predicting parameters in deeplearning,2013, In Advances in Neural Information Processing Systems
 Multi-agent diverse generative adversarial networks,2018, In IEEE Conference on Computer Vision andPattern Recognition
 Image-to-image translation with con-ditional adversarial networks,2017, In IEEE Conference on Computer Vision and Pattern Recognition
 Auto-encoding variational bayes,2013, arXiv preprintarXiv:1312
 Bayesian hypernetworks,2017, arXiv preprint arXiv:1710
 Mode seeking gener-ative adversarial networks for diverse image synthesis,2019, In IEEE Conference on Computer Visionand Pattern Recognition
 Conditional generative adversarial nets,2014, arXiv preprintarXiv:1411
 Contextencoders: Feature learning by inpainting,2016, In IEEE Conference on Computer Vision and PatternRecognition
 Few-shot image recognition by predictingparameters from activations,2018, In IEEE Conference on Computer Vision and Pattern Recognition
 DCFNet: Deep neuralnetwork with decomposed convolutional filters,2018, International Conference on Machine Learning
 Scribbler: Controlling deepimage synthesis with sketch and color,2017, In IEEE Conference on Computer Vision and PatternRecognition
 Condi-tional image generation with pixelcnn decoders,2016, In Advances in Neural Information ProcessingSystems
 Mathematics of deep learning,2017, arXivpreprint arXiv:1712
 Tafe-net: Task-awarefeature embeddings for low shot learning,2019, arXiv preprint arXiv:1904
 Texturegan: Controlling deep image synthesis with texture patches,2018, In IEEEConference on Computer Vision and Pattern Recognition
 Diversity-sensitive conditional generative adversarial networks,2019, arXiv preprint arXiv:1901
 Unpaired image-to-image translationusing cycle-consistent adversarial networks,2017, In IEEE Conference on Computer Vision and PatternRecognition
 Toward multimodal image-to-image translation,2017, In Advances in Neural InformationProcessing Systems
