title,year,conference
 Tensorflow: A system for large-scale machine learning,2016, In 12th USENIX Symposium onOperating Systems Design and Implementation
 Playing hardexploration games by watching YouTube,2018, In Advances in Neural Information Processing Systems
 Unifyingcount-based exploration and intrinsic motivation,2016, In Advances in Neural Information Processing Systems
 Curriculum learning,2009, In InternationalConference on Machine Learning
 Go-explore: a new approachfor hard-exploration problems,2019, arXiv preprint arXiv:1901
 Learning belief representations for imitationlearning in pomdps,2019, arXiv preprint arXiv:1906
 Divide-and-conquerreinforcement learning,2017, arXiv preprint arXiv:1711
 Automated curriculumlearning for neural networks,2017, In International Conference on Machine Learning
 Rainbow: Combining improvements in deep reinforcementlearning,2018, In AAAI Conference on Artificial Intelligence
 Deep Q-learning fromdemonstrations,2018, In AAAI Conference on Artificial Intelligence
 Generative adversarial imitation learning,2016, In Advances in Neural InformationProcessing Systems
 Distributed prioritized experience replay,2018, In International Conference on Learning Representations
 Reinforcement learning with unsupervised auxiliary tasks,2016, arXiv preprint arXiv:1611
 Policy optimization with demonstrations,2018, In International Conferenceon Machine Learning
 Recurrent experience replayin distributed reinforcement learning,2018, In International Conference on Learning Representations
 Learning from limited demonstra-tions,2013, In Advances in Neural Information Processing Systems
 Adam: A method for stochastic optimization,2014, arXiv preprint arXiv:1412
 Benchmarking model-basedreinforcement learning,2019, arXiv preprint arXiv:1907
 Infogail: Interpretable imitation learning from visual demonstra-tions,2017, In Advances in Neural Information Processing Systems
 Data structures for statistical computing in python,2010, In Proceedings of the 9th Python inScience Conference
 Learninghuman behaviors from motion capture by adversarial imitation,2017, arXiv preprint arXiv:1707
 Human-level control through deepreinforcement learning,2015, Nature
 Overcomingexploration in reinforcement learning with demonstrations,2018, In IEEE International Conference on Roboticsand Automation
 Policy invariance under reward transformations: Theory andapplication to reward shaping,1999, In International Conference on Machine Learning
 Guide to NumPy,2006, USA: Trelgol Publishing
 One-shot high-fidelity imitation: Training large-scaledeep nets with RL,2018, arXiv preprint arXiv:1810
 Deepmimic: Example-guided deepreinforcement learning of physics-based character skills,2018, ACM Transactions on Graphics
 Observe and look further: Achievingconsistent performance on atari,2018, arXiv preprint arXiv:1805
 Alvinn: An autonomous land vehicle in a neural network,1989, In Advances in neural informationprocessing systems
 Vision-based multi-taskmanipulation for inexpensive robots using end-to-end learning from demonstration,2018, In IEEE InternationalConference on Robotics and Automation
 Visual imitation with a minimal adversary,2018, 2018
 Learning Montezuma’s revenge from a single demonstration,2018, arXiv preprintarXiv:1812
 Prioritized experience replay,2016, In InternationalConference on Learning Representations
 Curious model-building control systems,1991, In IEEE International Joint Conference onNeural Networks
 Benchmarkingbonus-based exploration methods on the arcade learning environment,2019, arXiv preprint arXiv:1908
 Leveraging demonstrations for deep reinforcement learningon robotics problems with sparse rewards,2017, arXiv preprint arXiv:1707
 Dueling networkarchitectures for deep reinforcement learning,2016, In International Conference on Machine Learning
 Task-relevant adversarial imitation learning,2019, arXiv preprintarXiv:1910
 Reinforced imitationin heterogeneous action space,2019, arXiv preprint arXiv:1904
