title,year,conference
 Safe model-basedreinforcement learning with stability guarantees,2017, In Advances in Neural Information ProcessingSystems 30
 Almost surely constrained con-vex oPtimization,2019, In Proceedings of the 36th International Conference on Machine Learning
 Im-Proved training of wasserstein gans,2017, In Advances in Neural Information Processing Systems 30
 RePresenting Polynomials by Positive linear functions on comPact convexPolyhedra,1988, Pacific J
 Deep residual learning for image recog-nition,2016, In Conference on Computer Vision and Pattern Recognition
 Sparsity in sums of squares of poly-nomials,1436, Mathematical Programming
 Convergent lmi relaxations for nonconvex quadratic programs,2000, In Proceedings of the39th IEEE Conference on Decision and Control (Cat
 Gradient-based learning applied to document recog-nition,1998, Proceedings of the IEEE
 Spectral normalizationfor generative adversarial networks,2018, In International Conference on Learning Representations
 General heuristics for nonconvex quadratically constrainedquadratic programming,2017, arXiv preprint arXiv:1703
 Certified defenses against adversarial exam-ples,2018, In International Conference on Learning Representations
 A nullstellensatz and a positivstellensatz in semialgebraic geometry,1432, MathematischeAnnalen
 Intriguing properties of neural networks,2014, In 2nd International Conferenceon Learning Representations
 Further relaxations of the sdp approachto sensor network localization,2006, Tech
 Provable defenses against adversarial examples via the convex outeradversarial polytope,2018, In Proceedings of the 35th International Conference on Machine Learning
 A linear programmingrelaxation based approach for generating barrier certificates of hybrid systems,2016, In John Fitzgerald
 A conditional-gradient-based augmented la-grangian framework,2019, In Proceedings of the 36th International Conference on Machine Learning
