title,year,conference
 Designing neural network architec-tures using reinforcement learning,2017, In ICLR
 SMASH: one-shot modelarchitecture search through hypernetworks,2018, In ICLR
 Efficient architecture search bynetwork transformation,2018, In AAAI
 ProxylessNAS: Direct neural architecture search on targettask and hardware,2019, In ICLR
 ImageNet: A large-scalehierarchical image database,2009, In CVPR
 Improved regularization of convolutional neural networkswith cutout,2017, arXiv preprint arXiv:1708
 Efficient multi-objective neural architecturesearch via lamarckian evolution,2019, In ICLR
 Deep residual learning for image recog-nition,2016, In CVPR
 MobileNets: Efficient convolutional neural networks formobile vision applications,2017, arXiv preprint arXiv:1704
 Densely connectedconvolutional networks,2017, In CVPR
 Adam: A method for stochastic optimization,2015, In ICLR
 ImageNet classification with deep convo-lutional neural networks,2012, In NIPS
 FractalNet: Ultra-deep neural net-works without residuals,2017, In ICLR
 Random search and reproducibility for neural architecture search,2019, InUAI
 Microsoft COCO:Common objects in context,2014, In ECCV
 Progressive neural architecture search,2018, In ECCV
 Hi-erarchical representations for efficient architecture search,2018, In ICLR
 DARTS: Differentiable architecture search,2019, InICLR
 Ssd: Single shot multibox detector,2016, In ECCV
 ShuffleNet V2: Practical guidelinesfor efficient cnn architecture design,2018, In ECCV
 Efficient neural architecturesearch via parameter sharing,2018, In ICML
 Large-scale evolution of image classifiers,2017, In ICML
 Regularized evolution for imageclassifier architecture search,2019, In AAAI
 Evaluatingthe search phase of neural architecture search,2019, ArXiv
 Very deep convolutional networks for large-scale imagerecognition,2015, In ICLR
 Going deeper with convolutions,2015, InCVPR
 MnasNet: Platform-aware neural architecture search for mobile,2019, CVPR
 Pelee: A real-time object detectionsystem on mobile devices,2018, In NeurIPS
 Genetic CNN,2017, In ICCV
 ShuffleNet: An extremely efficientconvolutional neural network for mobile devices,2018, In CVPR
 Practical block-wise neuralnetwork architecture generation,2018, In CVPR
 BayesNAS: A Bayesian approach forneural architecture search,2019, In ICML
 Neural architecture search with reinforcement learning,2017, In ICLR
 Learning transferable architecturesfor scalable image recognition,2018, In CVPR
