title,year,conference
 A morphable model for the synthesis of 3d faces,1999, In Proceedingsof the 26th annual conference on Computer graphics and interactive techniques
 Large scale gan training for high fidelity naturalimage synthesis,2019, In ICLR
 Arcface: Additive angular marginloss for deep face recognition,2019, In CVPR
 Disentangled and controllable faceimage generation via 3d imitative-contrastive learning,2020, In CVPR
 Ganfit: Generative adversar-ial network fitting for high fidelity 3d face reconstruction,2019, In CVPR
 Generative adversarial nets,2014, In NIPS
 Ganspace: Discoveringinterpretable gan controls,2020, arXiv preprint arXiv:2004
 Deep residual learning for image recog-nition,2016, In CVPR
 Escaping plato’s cave: 3d shape from adversar-ial rendering,2019, In ICCV
 Perceptual losses for real-time style transfer andsuper-resolution,2016, In ECCV
 End-to-end recovery ofhuman shape and pose,2018, In CVPR
 Learning category-specific mesh reconstruction from image collections,2018, In ECCV
 A style-based generator architecture for generativeadversarial networks,2019, In CVPR
 Traininggenerative adversarial networks with limited data,2020, In Proc
 Analyz-ing and improving the image quality of stylegan,2020, In CVPR
 Self-supervised single-view 3d reconstruction via semantic consistency,2020, ECCV
 Smpl:A skinned multi-person linear model,2015, ACM transactions on graphics (TOG)
 Inverse graphics gan: Learn-ing to generate 3d shapes from unstructured 2d data,2020, arXiv preprint arXiv:2002
 Rectifier nonlinearities improve neural net-work acoustic models,2013, In ICML
 Hologan:UnsUPervised learning of 3d representations from natural images,2019, In ICCV
 Exploitingdeep generative prior for versatile image restoration and manipulation,2020, ECCV
 Cats and dogs,2012, In CVPR
 A 3d facemodel for pose and illumination invariant face recognition,2009, In 2009 Sixth IEEE InternationalConference on Advanced Video and Signal Based Surveillance
 Lifting autoencoders: Unsupervised learning of a fully-disentangled 3d morphablemodel using deep non-rigid structure from motion,2019, In ICCV Workshops
 Learning to regress 3d faceshape and expression from an image without 3d supervision,2019, In CVPR
 Closed-form factorization of latent semantics in gans,2020, arXiv preprintarXiv:2007
 Interpreting the latent space of gans forsemantic face editing,2020, In CVPR
 Unsupervised generative 3d shape learning fromnatural images,2019, arXiv preprint arXiv:1910
 Stylerig: Rigging stylegan for 3d control overportrait images,2020, In CVPR
 Nonlinear 3d face morphable model,2018, In CVPR
 Implicit mesh reconstruction from unan-notated image collections,2020, arXiv preprint arXiv:2007
 Learning a proba-bilistic latent space of object shapes via 3d generative-adversarial modeling,2016, In NIPS
 Unsupervised learning of probably sym-metric deformable 3d objects from images in the wild,2020, In CVPR
 Group normalization,2018, In ECCV
 Lsun:Construction of a large-scale image dataset using deep learning with humans in the loop,2015, arXivpreprint arXiv:1506
 Cat head detection-how to effectively exploit shape andtexture features,2008, In ECCV
 Pyramid scene parsingnetwork,2017, In CVPR
 Rotate-and-render: Unsupervisedphotorealistic face rotation from single-view images,2020, In CVPR
 Unsupervised learning of depthand ego-motion from video,2017, In CVPR
 Generative visual manipu-lation on the natural image manifold,2016, In ECCV
