title,year,conference
 Modular meta-learning,2018, arXiv preprintarXiv:1806
 Learning invariances in neural networks,2020, arXivpreprint arXiv:2010
 Face recognition from one example view,1995, In Proceedings of IEEEInternational Conference on Computer Vision
 Smash: one-shot model architecture search throughhypernetworks,2017, arXiv preprint arXiv:1708
 Group equivariant convolutional networks,2016, In International conferenceon machine learning
 Gauge equivariant convolutional networksand the icosahedral cnn,2019, arXiv preprint arXiv:1902
 Lagrangian neural net-works,2020, arXiv preprint arXiv:2003
 An image is worth 16x16 words: Transformers for imagerecognition at scale,2020, arXiv preprint arXiv:2010
 Revisiting spatial invariance withlow-rank local connectivity,2020, arXiv preprint arXiv:2002
 Neural architecture search: A survey,2018, arXiv preprintarXiv:1808
 Meta-learning with warped gradientdescent,2019, arXiv preprint arXiv:1909
 Towards end-to-end speech recognition with recurrent neural networks,2014, InInternational conference on machine learning
 Generalized inner loop meta-learning,2019, arXiv preprint arXiv:1910
 Hamiltonian neural networks,2019, In Advances in NeuralInformation Processing Systems
 Deep speech: Scaling up end-to-end speech recognition,2014, arXiv preprintarXiv:1412
 Learning to learn using gradient descent,2001, InInternational Conference on Artificial Neural Networks
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Tensor decompositions and applications,2009, SIAM review
 Imagenet classification with deep convolutionalneural networks,2012, In Advances in neural information processing systems
 Human-level concept learning through proba-bilistic program induction,2015, Science
 Gradient-based learning applied to documentrecognition,1998, Proceedings of the IEEE
 Meta-sgd: Learning to learn quickly for few-shot learning,2017, arXivpreprint arXiv:1707
 Darts: Differentiable architecture search,2018, arXiv preprintarXiv:1806
 An intriguing failingof convolutional neural networks and the coordconv solution,2018, In Advances in Neural InformationProcessing Systems
 Optimizing millions of hyperparameters by implicit differ-entiation,2019, arXiv preprint arXiv:1911
 Optimizing neural networks with kronecker-factored approximate curva-ture,2015, In International conference on machine learning
 Incorporating prior information in machine learning by creatingvirtual examples,1998, Proceedings of the IEEE
 Rapid learning or feature reuse? towards under-standing the effectiveness of maml,2019, arXiv preprint arXiv:1909
 Meta-learning with latent embedding optimization,2018, arXiv preprint arXiv:1807
 Prototypical networks for few-shot learning,2017, In Advances inneural information processing systems
 Rapidly adaptablelegged robots via evolutionary meta-learning,2020, arXiv preprint arXiv:2003
 A hypercube-based encoding for evolving large-scale neural networks,2009, Artificial life
 Learning invariances using the marginallikelihood,2018, In Advances in Neural Information Processing Systems
 Attention is all you need,2017, In Advances in neural information processing systems
 Matching networks for one shot learning,2016, InAdvances in neural information processing systems
 Deep scale-spaces: Equivariance over scale,2019, In Advances in NeuralInformation Processing Systems
 Harmonic networks: Deeptranslation and rotation equivariance,2017, In Proceedings of the IEEE Conference on Computer Visionand Pattern Recognition
 Neural architecture search with reinforcement learning,2016, arXiv preprintarXiv:1611
