title,year,conference
 Spectra of digraphs,2010, LinearAlgebra and itsApplications
 Graph laplacian kernels for object classification from a singleexample,2006, In Proceedings of the IEEE Computer Society Conference on Computer Vision andPattern Recognition
 Optimized deformed laplacian forspectrum-based community detection in sparse heterogeneous graphs,2019, arXiv:1901
 Optimal laplacian regularization forsparse spectral community detection,2020, In IEEE International Conference on Acoustics
 Asymptotic analysisof the stochastic block model for modular networks and its algorithmic applications,2011, PhysicalReview E
 Stability of graph neural networks to rel-ative perturbations,2020, In International Conference on Acoustics
 Citeseer: an automatic citation indexingsystem,1998, In International Conference on Digital Libraries
 Inductive representation learning on largegraphs,2017, In Proceedings of the 31st International Conference on Neural Information ProcessingSystems (NIPS)
 Representation learning on graphs: Methodsand applications,2017, IEEE Data Engineering Bulletin
 Stochastic blockmodels: Firststeps,1983, Social networks
 Matrix Analysis,1985, Cambridge
 Semi-supervised classification with graph convolutional net-works,2017, In 5th International Conference on Learning Representations (ICLR)
 Diffusion improves graph learn-ing,2019, In Advances in Neural Information Processing Systems 32
 Spectral redemption in clustering sparse networks,2013, Proceedings of the NationalAcademy of Sciences
 What graph neural networks cannot learn: depth vs width,2020, In 8th InternationalConference on Learning Representations (ICLR)
 Automating theconstruction of internet portals with machine learning,2000, Information Retrieval
 Geom-gcn: Geomet-ric graph convolutional networks,2020, In 8th International Conference on Learning Representations(ICLR)
 Eigenvalue interlacing in graphs,2017, Proceeding Series of theBrazilian Society of Applied and Computational Mathematics
 Regularized spectral clustering under the degree-corrected stochastic block-model,2013, In Advances in neural information processing Systems (NIPS)
 Spectral clustering of graphs with the bethehessian,2014, In Advances in Neural Information Processing Systems (NIPS)
 The emerging fieldof signal processing on graphs: Extending high-dimensional data analysis to networks and otherirregular domains,2013, IEEE Signal Processing Magazine
 Graph attention networks,2018, In 6th International Conference on Learning Representations(ICLR)
 A tutorial on spectral clustering,2007, Statistics and Computing
 Moleculenet: a benchmark for molecular machine learn-ing,2018, Chemical Science
 Acomprehensive survey on graph neural networks,2020, IEEE Transactions on Neural Networks andLearning Systems
 Position-aware graph neural networks,2019, Proceedings ofMachine Learning Research
 Link prediction based on graph neural networks,2018, In Advances inNeural Information Processing Systems 31
