title,year,conference
 Once-for-all: Train onenetwork and specialize it for efficient deployment,2019, In ICLR
 Cascade r-cnn: Delving into high quality object detection,2018, InCVPR
 Fast r-cnn,2015, In ICCV
 A comparative analysis of selection schemes used in geneticalgorithms,1991, In Foundations of genetic algorithms
 Deep residual learning for image recog-nition,2016, In CVPR
 Mask r-cnn,2017, In ICCV
 Acquisition of localizationconfidence for accurate object detection,2018, In ECCV
 Gradient harmonized single-stage detector,2019, In AAAI
 Am-lfs:Automl for loss function search,2019, In ICCV
 Focal loss for dense objectdetection,2017, In ICCV
 Evolving normalization-activationlayers,2020, arXiv preprint arXiv:2004
 Dr loss: Improving object detection by distributionalranking,2020, In CVPR
 Searching for activation functions,2018, In ICLR
 Automl-zero: Evolving machine learningalgorithms from scratch,2020, In ICML
 Faster r-cnn: Towards real-time objectdetection with region proposal networks,2015, In NeurIPS
 Fcos: Fully convolutional one-stage objectdetection,2019, In ICCV
 Improving object localization with fitness nms andbounded iou loss,2018, In CVPR
 Loss function search for facerecognition,2020, In ICML
 Iou-aware single-stage object detector for accuratelocalization,2020, Image and Vision Computing
 Unitbox: An advancedobject detection network,2016, In ACMM
 Distance-iouloss: Faster and better learning for bounding box regression,2020, In AAAI
