title,year,conference
 Designing fair rankingschemes,2019, In Proceedings of the 2019 International Conference on Management of Data
 Fairness and Transparency in Ranking,0163, ACM SIGIR Forum
 Interventions for ranking in the presence ofimplicit bias,2020, In Proceedings of the 2020 Conference on Fairness
 Fairness throughawareness,2012, In Proceedings of the 3rd Innovations in Theoretical Computer Science Conference
 CounterfactualFairness in Text Classification through Robustness,2018, arXiv:1809
 Metric Learning for Individual Fairness,2020, Foundations of Responsible Computing
 Classifying without discriminating,2009, In 2009 2nd InternationalConference on Computer
 Adversarial Logit Pairing,2018, arXiv:1803
 Adam: A method for stochastic optimization,2015, In InternationalConference on Learning Representations (ICLR)
 Minimax statistical learning with wasserstein dis-tances,2018, In Advances in Neural Information Processing Systems 31
 Two simple waysto learn individual fairness metrics from data,2020, In International Conference on Machine Learning
 On conditional parity as a notion of non-discriminationin machine learning,2017, arXiv:1706
 Quantifyingthe Impact of User Attention on Fair Group Representation in Ranked Lists,2019, In Proceedings of theWorkshop on Fairness
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning,1992, Machine learning
 On discrimination discovery and removal in ranked datausing causal graph,2018, In Proceedings of the 24th ACM SIGKDD International Conference onKnowledge Discovery and Data Mining
 Fair Learning-to-Rank from Implicit Feed-back,2019, arXiv:1911
 Invariance-inducing regularization usingworst-case transformations suffices to boost accuracy and spatial robustness,2019, In Advances in NeuralInformation Processing Systems 32
 Balanced ranking with diversity constraints,2019, IJCAIInternational Joint Conference on Artificial Intelligence
 Training individually fair ML models withsensitive subspace robustness,2020, In International Conference on Learning Representations
 Fa* ir: A fair top-k ranking algorithm,2017, In Proceedings of the 2017 ACM onConference on Information and Knowledge Management
