title,year,conference
 Fairwashing explanations Withoff-manifold detergent,2020, In ICML
 Outliers in Statistical Data,1994, Wiley
 Classification-based anomaly detection for general data,2020, In ICLR
 MVTec AD-A comprehensive real-world dataset forunsupervised anomaly detection,2019, In CVPR
 Safe model-based reinforcement learning withstability guarantees,2017, In NeurIPS
 Large-scale machine learning with stochastic gradient descent,2010, In Proceedings of COMPSTAT’2010
 Anomaly detection using one-class neural networks,2018, arXiv preprintarXiv:1802
 Anomaly detection: A survey,2009, ACM Computing Surveys
 EMNIST: Extending MNIST to handwritten letters,2017, InIJCNN
 Iterative energy-based projection on a normal data manifoldfor anomaly localization,2020, In ICLR
 ImageNet: A large-scale hierarchical imagedatabase,2009, In CVPR
 On discordant observations,1887, The London
 Deep anomaly detection using geometric transformations,2018, In NeurIPS
 Social GAN: Socially acceptable trajectories withgenerative adversarial networks,2018, In CVPR
 Outlier Detection Using Replicator Neural Networks,2002, In DaWaK
 Deep anomaly detection with outlier exposure,2019, In ICLR
 Using self-supervised learning can improve modelrobustness and uncertainty,2019, In NeurIPS
 Robust estimation of a location parameter,1964, The Annals of Mathematical Statistics
 Artificial intelligence and the future of work: Human-AI symbiosis in organizational decisionmaking,2018, Business Horizons
 Towards Explaining Anomalies: A Deep Taylor Decompositionof One-Class Models,2020, Pattern Recognition
 Adam: A method for stochastic optimization,2015, In ICLR
 Learning multiple layers of features from tiny images,2009, Technical report
 Analyzing classifiers: Fisher vectors anddeep neural networks,2016, In CVPR
 Unmasking clever hanspredictors and assessing what machines really learn,2019, Nature Communications
 Superpixel masking and inpainting for self-supervised anomaly detection,2020, In BMVC
 Towards visually explainingvariational autoencoders,2020, In CVPR
 Fully convolutional networks for semantic segmentation,2015, In CVPR
 Understanding the effective receptive field in deep convolutionalneural networks,2016, In NeurIPS
 Explaining nonlinear classificationdecisions with deep Taylor decomposition,2017, Pattern Recognition
 Anomaly detection in nanofibrous materials by CNN-based self-similarity,2018, Sensors
 Learning deconvolution network for semantic segmentation,2015, In ICCV
 Multiple-instance learning for anomalydetection in digital mammography,2016, IEEE Transactions on Medical Imaging
 Anchors: High-precision model-agnostic explanations,2018, In AAAI
 Deepone-class classification,2018, In ICML
 Rethinking assumptions in deep anomalydetection,2020, arXiv preprint arXiv:2006
 Deep semi-supervisedanomaly detection,2020, In ICLR
 A unifying review of deep and shallow anomaly detection,2021, Proceedings of the IEEE
 Deep-anomaly: Fully convolutional neuralnetwork for fast anomaly detection in crowded scenes,2018, Computer Vision and Image Understanding
 Anomaly detection using autoencoders with nonlinear dimensionality reduction,2014, InProceedings of the MLSDA 2014 2nd Workshop on Machine Learningfor Sensory Data Analysis
 Toward interpretable machine learning:Transparent deep neural networks and beyond,2020, arXiv preprint arXiv:2003
 Unsupervised anomaly detectionwith generative adversarial networks to guide marker discovery,2017, In International conference on informationprocessing in medical imaging
 Very deep convolutional networks for large-scale image recognition,2015, In ICLR
 Deep inside convolutional networks: Visualising image classifica-tion models and saliency maps,2013, arXiv preprint arXiv:1312
 Signal detection theory: Valuable tools for evaluating inductive learning,1989, In Proceedings ofthe Sixth International Workshop on Machine Learning
 Axiomatic attribution for deep networks,2017, In ICML
 On the importance of initialization and momentum in deeplearning,2013, In ICML
 One-class classification,2001, PhD thesis
 Support Vector Data Description,2004, Machine Learning
 80 million tiny images: A large data set for nonparametric objectand scene recognition,2008, IEEE Transactions on Pattern Analysis and Machine Intelligence
 Attention guided anomaly detection andlocalization in images,2019, arXiv preprint arXiv:1911
 Fashion-MNIST: A novel image dataset for benchmarking machine learningalgorithms,2017, arXiv preprint arXiv:1708
 Spatio-temporal autoencoder for video anomalydetection,2017, In Proceedings of the 25th ACM International Conference on Multimedia
 Anomaly detection with robust deep autoencoders,2017, In KDD
 Encoding structure-texturerelation with p-net for anomaly detection in retinal images,2020, In ECCV
