title,year,conference
 Speech synthesis from neuraldecoding of spoken sentences,2019, Nature
 Deep reinforcement learningfrom policy-dependent human feedback,2019, arXiv preprint arXiv:1902
 Learning models for shared controlof human-machine systems with unknown dynamics,2017, In Robotics: Science and Systems
 Advances in neuroprosthetic learning and control,2013, PLoS Biology
 Deep re-inforcement learning from human preferences,2017, In Neural Information Processing Systems
 Emnist: Extending mnistto handwritten letters,2017, In International Joint Conference on Neural Networks
 Deep contextual multi-armed bandits,2018, arXiv preprintarXiv:1807
 Transformer-xl: Attentive language models beyond a fixed-length context,2019, arXiv preprintarXiv:1901
 Design and analysisof closed-loop decoder adaptation algorithms for brain-machine interfaces,2013, Neural computation
 Continuous closed-loop decoder adaptation with a recursive maximumlikelihood algorithm allows for rapid performance acquisition in brain-machine interfaces,2014, Neuralcomputation
 A high-performance neural prosthesis enabled by control algorithm design,2012, Nature neuroscience
 Adaptive robot-assisted feeding: An online learning framework for acquiring previously-unseen food items,2019, arXiv preprint arXiv:1908
 Characterizing the dynamics oflearning in repeated reference games,2020, Cognitive Science
 Sequence tutor: Conservative fine-tuning of sequence generation mod-els with kl-control,2017, In International Conference on Machine Learning
 Ges-text: accelerometer-based gestural text-entry systems,2010, In SIGCHI Conference on Human Factorsin Computing Systems
 Learning adaptive language interfacesthrough decomposition,2020, arXiv preprint arXiv:2010
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Interactively shaping agents via human reinforcement: The tamerframework,2009, In International Conference on Knowledge Capture
 Eye tracking for everyone,2016, In IEEE Conference on ComputerVision and Pattern Recognition
 A contextual bandits framework for personalized learningaction selection,2016, In Educational Data Mining
 The epoch-greedy algorithm for multi-armed bandits with sideinformation,2008, In Neural Information Processing Systems
 Bandit algorithms,2020, Cambridge University Press
 A contextual-bandit approach topersonalized news article recommendation,2010, In International Conference on World Wide Web
 Interactive learning from policy-dependent human feedback,2017, arXiv preprintarXiv:1701
 Machine translation of cortical activity totext with an encoder-decoder framework,2020, Technical report
 Visceral machines: Reinforcement learning with intrinsicphysiological rewards,2019, In International Conference on Learning Representations
 Neuroprosthetic decodertraining as imitation learning,2015, arXiv preprint arXiv:1511
 Online human training of a myoelectric prosthesis controller via actor-criticreinforcement learning,2011, In IEEE International Conference on Rehabilitation Robotics
 Meta-Iearning for recalibration of emg-based upper limb prostheses,2020, 2020
 Shared autonomy via deep reinforcementlearning,2018, arXiv preprint arXiv:1802
 Active preference-based learn-ing of reward functions,2017, In Robotics: Science and Systems
 Residual policy learning for shared autonomy,2020, arXiv preprintarXiv:2004
 Combining decoder design and neural adaptation in brain-machine interfaces,2014, Neuron
 Plug-and-play control of a brain-computer interface throughneural map stabilization,2020, Nature Biotechnology
 Direct cortical control of 3dneuroprosthetic devices,2002, Science
 Learning language games through interac-tion,2016, arXiv preprint arXiv:1606
 Dasher—a data entry interface usingcontinuous gestures and language models,2000, In ACM Symposium on User Interface Software andTechnology
 Deep tamer: Interactiveagent shaping in high-dimensional state spaces,2017, arXiv preprint arXiv:1709
 High-performance brain-to-text communication via imagined handwriting,2020, bioRxiv
 Accelerating reinforcementlearning agent with eeg-based implicit human feedback,2020, arXiv preprint arXiv:2006
 Interactively optimizing information retrieval systems as adueling bandits problem,2009, In International Conference on Machine Learning
 Neural contextual bandits with upper confidencebound-based exploration,2019, arXiv preprint arXiv:1911
1 Online User S tudy: Typing with Eye GazeEye image features,2016, Instead of operating directly on 224x224 images of the user’s eyes
