title,year,conference
 Learning representations by maximizingmutual information across views,2019, NeurIPS
 Synthesizing imagesof humans in unseen poses,2018, In CVPR
 Large scale gan training for high fidelity naturalimage synthesis,2019, In ICLR
 Rethinking atrousconvolution for semantic image segmentation,2017, In ArXiv
 A simple framework forcontrastive learning of visual representations,2020, ArXiv
 Infogan:Interpretable representation learning by information maximizing generative adversarial nets,2016, InNIPS
 Stargan v2: Diverse image synthesisfor multiple domains,2020, In CVPR
 Imagenet: A large-scale hierarchicalimage database,2009, In CVPR
 Unsupervised learning of disentangled representationsfrom video,2017, In NIPS
 A neural algorithm of artistic style,2015, Arxiv
 Image-to-image translation forcross-domain disentanglement,2018, In NIPS
 Generative adversarial nets,2014, In NIPS
 Dimensionality reduction by learning an invariantmapping,2006, In CVPR
 beta-vae: Learning basic visual concepts with aconstrained variational framework,2017, In ICLR
 Disentanglingfactors of variation by mixing them,2018, In CVPR
 Arbitrary style transfer in real-time with adaptive instance normal-ization,2017, In ICCV
 Perceptual losses for real-time style transfer andsuper-resolution,2016, In ECCV
 A style-based generator architecture for generativeadversarial networks,2019, CVPR
 Learning to discovercross-domain relations with generative adversarial networks,2017, In ICML
 Auto-encoding variational bayes,2014, ICLR
 Human-level concept learningthrough probabilistic program induction,2015, Science
 Diverseimage-to-image translation via disentangled representations,2018, In ECCV
 Representing and recognizing the visual appearance of materialsusing three-dimensional textons,2001, In IJCV
 Mixnmatch: Multifactor disen-tanglement and encoding for conditional image generation,2020, In CVPR
 Unsupervised disentangled representation learningwith analogical relations,2018, In IJCAI
 Microsoft coco: Common objects in context,2014, In ECCV
 Dis-entangled person image generation,2018, In CVPR
 Reconstruction-based disentanglement for pose-invariant face recognition,2017, In ICCV
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2016, In ICLR
 Principles of categorization,1978, Cognition and Categorization
 Deforming autoencoders: Unsupervised disentangling of shape and appearance,2018, InECCV
 Finegan: UnsuPervised hierarchical disen-tanglement for fine-grained object generation and discovery,2019, In CVPR
 Texture networks: Feed-forward synthesis of textures and stylized images,2016, ICML
 UnPaired image-to-image translationusing cycle-consistent adversarial networks,2017, In ICCV
2 Shape disentanglementAs mentioned in Sec,2021, 4
