title,year,conference
 Universally quantized neural compression,2020, arXiv:2006
 Layer normalization,2016, arXiv:1607
 ReZero is All You Need: Fast Convergence at Large Depth,2020, arXiv:2003
 Lossless Image Compression through Super-Resolution,2020, arXiv:2004
 DEFLATE compressed data format specification version 1,1996,3
 NICE: Non-linear independent componentsestimation,2014, arXiv:1410
 Asymmetric numeral systems,2009, arXiv:0902
 Asymmetric numeral systems: entropy coding combining speed of huffman coding withcompression rate of arithmetic coding,2013, arXiv:1311
 Deep residual learning for imagerecognition,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Flow++: Improving flow-based generative models with variational dequantization and architecture design,2019, arXiv:1902
 Integer Discrete Flows andLossless Compression,2019, In Advances in Neural Information Processing Systems 32
 Emerging Convolutions for GenerativeNormalizing Flows,2019, In Proceedings of the 36th International Conference on Machine Learning
 Densely Connected ConvolutionalNetworks,2017, In 2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 FloWaveNet: Agenerative flow for raw audio,2018, arXiv:1811
 Adam: A method for stochastic optimization,2014, arXiv:1412
 Auto-encoding variational bayes,2013, arXiv:1312
 Glow: Generative flow with invertible 1x1 convolutions,2018, InAdvances in Neural Information Processing Systems
 Bit-swap: Recursive bits-back coding for losslesscompression with hierarchical latent variables,2019, arXiv:1905
 Videoflow: A flow-based generative model for video,2019, arXiv:1903
 Visualizing the loss landscapeof neural nets,2018, In Advances in Neural Information Processing Systems
 Practicalfull resolution learned lossless image compression,2019, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition
 Learning Better Lossless CompressionUsing Lossy Compression,2020, arXiv:2003
 Normalizing Flows for Probabilistic Modeling and Inference,2019, arXiv:1912
 Variational Inference with Normalizing Flows,2015, In Proceedingsof the 32nd International Conference on Machine Learning
 PixelCNN++: Improving thePixelCNN with discretized logistic mixture likelihood and other modifications,2017, arXiv:1701
 Generative image modeling using spatial lstms,2015, In Advances inNeural Information Processing Systems
 A tutorial on the range variant of asymmetric numeral systems,2020, arXiv:2001
 HiLLoC: Lossless Image Compres-sion with Hierarchical Latent Variable Models,2019, arXiv:1912
 Practical lossless compression with latent variablesusing bits back coding,2019, arXiv:1901
 Discrete Flows: InvertibleGenerative Models of Discrete Data,2019, In Advances in Neural Information Processing Systems 32
 RNADE: The real-valued neural autoregressivedensity-estimator,2013, In Advances in Neural Information Processing Systems 26
 A deep and tractable density estimator,2014, InInternational Conference on Machine Learning
 Group Normalization,2018, Lecture Notes in Computer Science
