title,year,conference
 The truncated normal distribution,2014, Department of Scientific Computing Website
 Encoder-decoder with atrous separable convolution for semantic image segmentation,2018, In Proceedings ofthe European Conference on Computer Vision (ECCV)
 The cityscapes dataset for semanticurban scene understanding,2016, In Proceedings of IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 Direct loss minimization for structuredprediction,2010, In Advances in Neural Information Processing Systems (NIPS)
 Deep residual learning for image recog-nition,2016, In Proceedings of IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Automl: A survey of the state-of-the-art,2019, arXiv preprintarXiv:1908
 A support vector method for multivariate performance measures,2005, In Proceedingsof the 22nd International Conference on Machine Learning (ICML)
 Am-lfs: Automl for loss function search,2019, In Proceedings of the IEEE International Conference onComputer Vision (CVPR)
 Darts: Differentiable architecture search,2018, InProceedings of the 6th International Conference on Learning Representations (ICLR)
 Segmentation loss odyssey,2020, arXiv preprint arXiv:2005
 Ef-ficient optimization for rank-based loss functions,2018, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition (CVPR)
 Neuro-iou:Learning a surrogate loss for semantic segmentation,2018, In Proceedings of the British MachineVision Conference (BMVC)
 Learning surrogates via deep embedding,2020, In Proceedingsof the European Conference on Computer Vision (ECCV)
 Efficient neural architecturesearch via parameters sharing,2018, In Proceedings of the 35th International Conference on MachineLearning (ICML)
 Optimizing intersection-over-union in deep neural networks forimage segmentation,2016, In International Symposium on Visual Computing
 Opti-mizing nondecomposable loss functions in structured prediction,2012, IEEE Transactions on PatternAnalysis and Machine Intelligence
 Proximal policyoptimization algorithms,2017, arXiv preprint arXiv:1707
 Training deep neural networks via directloss minimization,2016, In Proceedings of the 33rd International Conference on Machine Learning(ICML)
 Deep high-resolution representation learningfor human pose estimation,2019, In Proceedings of IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 Bridging category-level and instance-levelsemantic image segmentation,2016, arXiv preprint arXiv:1605
 A support vector methodfor optimizing average precision,2007, In Proceedings of the 30th Annual International ACM SIGIRConference on Research and Development in Information Retrieval
 Pyramid scene pars-ing network,2017, In Proceedings of IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Neural architecture search with reinforcement learning,2017, In Proceedingsof the 5th International Conference on Learning Representations (ICLR)
