title,year,conference
 Threat of adversarial attacks on deep learning in computer vision:A survey,2018, IEEEAccess
 Deep gaussian embedding of graphs: UnsUPer-vised inductive learning via ranking,2018, In International Conference on Learning Representations
 Certifiable robustness to graph perturbations,2019, InAdvances in Neural Information Processing Systems
 Adversarial examples are not easily detected: Bypassing tendetection methods,2017, In Workshop on Artificial Intelligence and Security
 Detection as regression: Certified object detection by median smoothing,2020, In Advancesin Neural Information Processing Systems
 Certified adversarial robustness via randomizedsmoothing,2019, In Proceedings of the 36th International Conference on Machine Learning
 Uncertainty-aware attention graph neuralnetwork for defending adversarial attacks,2020, arXiv preprint arXiv:2009
 Graph adversarial training: Dynamicallyregularizing based on graph structure,2019, IEEE Transactions on Knowledge and Data Engineering
 Predict then propagate:Graph neural networks meet personalized pagerank,2019, In International Conference on LearningRepresentations
 Reliable graph neural networks via robustaggregation,2020, In Advances in Neural Information Processing Systems
 Neuralmessage passing for quantum chemistry,2017, In Proceedings of the 34th International Conference onMachine Learning
 Explaining and harnessing adversarialexamples,2015, In International Conference on Learning Representations
 Adversarial attack and defense of structuredprediction models,2020, In Proceedings of the 2020 Conference on Empirical Methods in NaturalLanguage Processing (EMNLP)
 Semi-supervised classification with graph convolutional net-works,2017, In International Conference on Learning Representations
 Tight certificates of adversarialrobustness for randomly smoothed classifiers,2019, In Advances in Neural Information ProcessingSystems 32
 Automating theconstruction of internet portals with machine learning,2000, Information Retrieval
 Query-driven active surveyingfor collective classification,2012, In Workshop on Mining and Learning with Graphs
 Graph Attention Networks,2018, In International Conference on Learning Representations
 Edog: Adversarial edge detection forgraph neUral networks,2020, Technical report
 Dynamic divide-and-conqUer adversarial trainingfor robUst semantic segmentation,2020, arXiv preprint arXiv:2003
 Defensevgae: Defending against adversarial attacks on graph data via avariational graph aUtoencoder,2020, arXiv preprint arXiv:2006
 Comparing and detecting adversarial at-tacks for graph deep learning,2019, In Representation Learning on Graphs and Manifolds Workshop
 RobUst collective classification against strUctUral attacks,2020, InProceedings of the 36th Conference on Uncertainty in Artificial Intelligence (UAI)
 Adversarial attackson graph neUral networks: PertUrbations and their patterns,2020, ACM Transactions on KnowledgeDiscovery from Data
 27 to Eq,2021, 30 are identical to constraints Eq
