title,year,conference
 More is less: Learningefficient video representations by temporal aggregation module,2019, In NeurIPS 2019
 X3d: Expanding architectures for efficient video recognition,2020, 2020 IEEEConference on Computer Vision and Pattern Recognition (CVPR)
 The “something something” videodatabase for learning and evaluating visual common sense,2017, 2017 IEEE International Conferenceon Computer Vision (ICCV)
 Stm: Spatiotemporal andmotion encoding for action recognition,2019, 2019 IEEE International Conference on Computer Vision(ICCV)
 Large-scalevideo classification with convolutional neural networks,2014, 2014 IEEE Conference on ComputerVision and Pattern Recognition
 Hmdb: A large videodatabase for human motion recognition,2011, 2011 International Conference on Computer Vision
 Smallbignet: Integrating core and contextual viewsfor video classification,2020, 2020 IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Tea: Temporal excitationand aggregation for action recognition,2020, ArXiv
 Teinet: Towards an efficient architecture for video recognition,2020, ArXiv
 Sgdr: Stochastic gradient descent with warm restarts,2017, In ICLR
 Learning spatio-temporal representation with pseudo-3dresidual networks,2017, 2017 IEEE International Conference on Computer Vision (ICCV)
 Two-stream convolutional networks for action recognition invideos,2014, In NIPS
 Ucf101: A dataset of 101 human actions classes from videosin the wild,2012, ArXiv
 Learningspatiotemporal features with 3d convolutional networks,2015, 2015 IEEE International Conference onComputer Vision (ICCV)
 A closerlook at spatiotemporal convolutions for action recognition,2018, 2018 IEEE Conference on ComputerVision and Pattern Recognition (CVPR)
 Temporal segmentnetworks: Towards good practices for deep action recognition,2016, In ECCV
 Videos as space-time region graphs,2018, In ECCV
 Temporal distinct representation learning for action recognition,2020, ArXiv
 Rethinking spatiotemporal featurelearning: Speed-accuracy trade-offs in video classification,2018, In ECCV
 Eco: Efficient convolutional network for onlinevideo understanding,2018, ArXiv
