title,year,conference
 Superhuman ai for multiplayer poker,0036, Science
 Challenges of real-world reinforcementlearning,2019, arXiv preprint arXiv:1904
 Diversity is all you need:Learning skills without a reward function,2018, arXiv preprint arXiv:1802
 D4rl: Datasets for deep data-driven rein-forcement learning,2020, In arXiv
 Off-policy deep reinforcement learning withoutexploration,2018, arXiv preprint arXiv:1812
 Emaq: Expected-max q-learning operator for simple yet effective offline and online rl,2020, arXiv preprintarXiv:2007
 Soft actor-critic: Off-policy maximum entropy deep reinforcement learning with a stochastic actor,2018, arXiv preprintarXiv:1801
 Learning an embeddingspace for transferable robot skills,2018, In International Conference on Learning Representations(ICLR)
 beta-vae: Learning basic visual concepts with aconstrained variational framework,2016, 2016
 Un-supervised curricula for visual meta-reinforcement learning,2019, In Advances in Neural InformationProcessing Systems
 Way off-policy batch deep reinforcement learning ofimplicit human preferences in dialog,2019, arXiv preprint arXiv:1907
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Ddco: Discovery of deep continuousoptions for robot learning from demonstrations,2017, arXiv preprint arXiv:1710
 Learning navigation subroutines from egocentricvideos,2020, In Conference on Robot Learning
 Stabilizing off-policy q-learning via bootstrapping error reduction,2019, In Neural Information Processing Systems (NeurIPS)
 Conservative q-learning for offlinereinforcement learning,2020, arXiv preprint arXiv:2006
 Learning latent plans from play,2020, In Conference on Robot Learning
 Deployment-efficient reinforcement learning via model-based offline optimization,2020, arXiv preprintarXiv:2006
 Near-optimal representation learningfor hierarchical reinforcement learning,2018, arXiv preprint arXiv:1810
 Data-efficient hierarchicalreinforcement learning,2018, In Advances in Neural Information Processing Systems
 Multi-agent manipula-tion via locomotion using hierarchical sim2real,2019, arXiv preprint arXiv:1908
 Pipps: Flexible model-basedpolicy search robust to the curse of chaos,2019, arXiv preprint arXiv:1902
 Mcp: Learn-ing composable hierarchical control with multiplicative compositional policies,2019, In Advances inNeural Information Processing Systems
 Markov decision processes: Discrete stochastic dynamic programming,1994, 1994
 Proximal policyoptimization algorithms,2017, arXiv preprint arXiv:1707
 Dynamics-awareunsupervised discovery of skills,2019, arXiv preprint arXiv:1907
 Masteringthe game of go with deep neural networks and tree search,2016, nature
 Temporal difference learning and td-gammon,1995, J
 Deep reinforcement learning with double q-learning,2015, arXiv preprint arXiv:1509
 Feudal networks for hierarchical reinforcement learning,2017, arXivpreprint arXiv:1703
 Using the hyperparameters from Nachum et al,2021, (2018a)
