title,year,conference
 Representation learningand adversarial generation of 3d point clouds,2017, arXiv preprint arXiv:1707
 Do gans actually learn the distribution? an empirical study,2017, arXivpreprint arXiv:1706
 Do GANs learn the distribution? some theory andempirics,2018, In International Conference on Learning Representations
 Pixelnn: Example-based image synthesis,2019, arXivpreprint arXiv:1708
 Spherical cnns,2018, arXiv preprintarXiv:1801
 Learningdiverse image colorization,2018, In The IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Understanding the limita-tions of conditional generative models,2020, In International Conference on Learning Representations
 View inter-prediction gan:Unsupervised representation learning for 3d shapes by learning global shape memories to supportlocal view predictions,2019, In Proceedings of the AAAI Conference on Artificial Intelligence
 Diverse conditional image generation by stochasticregression with latent drop-out codes,2018, In Proceedings of the European Conference on ComputerVision (ECCV)
 Multimodal unsupervised image-to-imagetranslation,2018, In The European Conference on Computer Vision (ECCV)
 Image-to-image translation withconditional adversarial networks,2017, In Proceedings of the IEEE conference on computer vision andpattern recognition
 Self-supervised visual feature learning with deep neural networks: Asurvey,2020, IEEE transactions on pattern analysis and machine intelligence
 Unsupervised primitive discoveryfor improved 3d generative modeling,2019, In Proceedings of the IEEE Conference on Computer Visionand Pattern Recognition
 Auto-encoding variational bayes,2013, arXiv preprintarXiv:1312
 Auto-encoding variational bayes,2014, CoRR
 Diverseimage-to-image translation via disentangled representations,2019, In The European Conference onComputer Vision (ECCV)
 A general framework for uncertaintyestimation in deep learning,2016, arXiv preprint arXiv:1907
 Biva: A very deep hierarchy oflatent variables for generative modeling,2019, In Advances in neural information processing systems
 Deep multi-scale video prediction beyondmean square error,2014, CoRR
 Cats and dogs,2016, In IEEEConference on Computer Vision and Pattern Recognition
 Volumetric convolution: Automatic represen-tation learning in unit ball,2019, arXiv preprint arXiv:1901
 Spectral-gans for high-resolution 3d point-cloud generation,2019, arXiv preprint arXiv:1912
 Blended convolution andsynthesis for efficient discrimination of 3d shapes,2020, In The IEEE Winter Conference on Applicationsof Computer Vision
 Variational inference with normalizing flows,2015, arXivpreprint arXiv:1505
 A stochastic approximation method,2021, Annals of Mathematical Statistics
 Vconv-dae: Deep volumetric shape learning withoutobject labels,2016, In European Conference on Computer Vision
 Learning structured output representation using deepconditional generative models,2015, In Advances in Neural Information Processing Systems 28
 Improving generalization and stability ofgenerative adversarial networks,2019, arXiv preprint arXiv:1902
 Spatial pattern templates for recognition of objects with regularstructure,2013, In Proc
 Chromagan: Adversarial picture colorization withsemantic class distribution,2020, In The IEEE Winter Conference on Applications of Computer Vision
 Image inpainting via generativemulti-column convolutional neural networks,2018, In Advances in Neural Information ProcessingSystems 31
 Diversity-sensitive conditional generative adversarial networks,2019, arXiv preprint arXiv:1901
 Foldingnet: Point cloud auto-encoder viadeep grid deformation,2018, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Generative imageinpainting with contextual attention,2018, In The IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 Learning pyramid-context encodernetwork for high-quality image inpainting,2019, In The IEEE Conference on Computer Vision andPattern Recognition (CVPR)
 Fsim: A feature similarity index for imagequality assessment,2018, IEEE transactions on Image Processing
 Toward multimodal image-to-image translation,2017, In Advances in neural informationprocessing systems
