title,year,conference
 Cormorant: Covariant Molecular NeuralNetworks,2019, In Conference on Neural Information Processing Systems (NeurIPS)
 Topological Groups and Related Structures,2008, Atlantis studiesin mathematics
 Lorentz Group Equivariant Neural Network for Particle Physics,2020, In InternationalConference on Machine Learning (ICML)
 General ToPology: ChaPters 1-4,1998, Elements of mathematics
 Gauge Equivariant Convo-lutional Networks and the Icosahedral CNN,2019, In International Conference on Machine Learning(ICML)
 Spherical CNNs,2018, In InternationalConference on Learning Representations (ICLR)
 A General Theory of Equivariant CNNs onHomogeneous Spaces,2019, In Advances in Neural Information Processing Systems (NeuRIPS)
 Introduction to Hilbert Spaces with Applications,2005, Elsevier Science
 The Design and Use of Steerable Filters,1991, IEEE TransactionsOnpatternAnalysisandMachineIntelligence (TPAMI)
 Matrix Analysis,2012, Cambridge University Press
 An introduction to tensors and group theoryfor physicists,2011, Birkhauser
 Set Theory and Metric Spaces,2001, AMS Chelsea Publishing Series
 On the Generalization of Equivariance and Convolution inNeural Networks to the Action of Compact Groups,2018, In International Conference on MachineLearning (ICML)
 The Haar integral,1965, University series in higher mathematics
 Circular harmonic phase filters for efficient rotation-invariantpattern recognition,1988, Applied Optics
 An Extension of Plancherel’s Formula to Separable Unimodular Groups,1950, Annals ofMathematics
 Scale-Equivariant Steerable Networks,2020, InInternational Conference on Learning Representations (ICLR)
 Introduction to Metric and Topological Spaces,1975, Open university set book
 An Introduction to Measure Theory,2013, Graduate studies in mathematics
 3D SteerableCNNs: Learning Rotationally Equivariant Features in Volumetric Data,2018, In Advances in NeuralInformation Processing Systems (NeuRIPS)
 Learning Steerable Filters for Rotation Equiv-ariant CNNs,2018, In Conference on Computer Vision and Pattern Recognition (CVPR)
 CNNs on Surfaces using Rotation-Equivariant Features,2020, Transactions on Graphics
 Deep Scale-spaces: Equivariance Over Scale,2019, In Conference onNeural Information Processing Systems (NeurIPS)
 HarmonicNetworks: Deep Translation and Rotation Equivariance,2016, In Conference on Computer Vision andPattern Recognition (CVPR)
 By Proposition F,2014,8
