title,year,conference
 Agent57: Outperforming the Atari Human Benchmark,2020, arXivpreprint arXiv:2003
 NeverGive Up: Learning Directed Exploration Strategies,2020, In Proceedings of the 2020 InternationalConference on Learning Representations (ICLR)
 A distributional perspective on reinforcementlearning,2017, In Proceedings of the 34th International Conference on Machine Learning
 Implicit Quantile Networks forDistributional Reinforcement Learning,2018, In Proceedings of the 35th International Conference onMachine Learning
 Hyper-bolic Discounting and Learning over Multiple Horizons,2019, arXiv preprint arXiv:1902
 Recurrent Expe-rience Replay in Distributed Reinforcement Learning,2019, In Proceedings of the 2019 InternationalConference on Learning Representations (ICLR)
 A Comparative Analysis of Expectedand Distributional Reinforcement Learning,2019, In Proceedings of the AAAI Conference on ArtificialIntelligence
 Human-LevelControl Through Deep Reinforcement Learning,2015, Nature
 Observe and LookFurther: Achieving Consistent Performance on Atari,2018, arXiv preprint arXiv:1805
 Hybrid Reward Architecture for Reinforcement Learning,2017, In I
 Learning from Delayed Rewards,1989, PhD thesis
