title,year,conference
 Maximum a posteriori policy optimisation,2018, arXiv preprint arXiv:1806
 Safe model-based reinforcementlearning with stability guarantees,2017, In Advances in neural information processing systems
 Discriminative learning for differing training and testdistributions,2007, In Proceedings of the 24th international conference on Machine learning
 Using simulation and domain adaptation to improveefficiency of deep robotic grasping,2018, In 2018 IEEE International Conference on Robotics and Automation(ICRA)
 Openai gym,2016, arXiv preprint arXiv:1606
 Closing the sim-to-real loop: Adapting simulation randomization with real world experience,2019, In 2019International Conference on Robotics and Automation (ICRA)
 Deep reinforcement learning ina handful of trials using probabilistic dynamics models,2018, In Advances in Neural Information ProcessingSystems
 Learn-ing to adapt: Meta-learning for model-based control,2018, arXiv preprint arXiv:1803
 Domain adaptation and sample bias correction theory and algorithm forregression,2014, Theoretical Computer Science
 Domain adaptation for visual applications: A comprehensive survey,2017, arXiv preprintarXiv:1702
 Reinforcement learning with multi-fidelity simulators,2014, In2014 IEEE International Conference on Robotics and Automation (ICRA)
 Rl2 Fast reinforce-ment learning via slow reinforcement learning,2016, arXiv preprint arXiv:1611
 Doubly robust policy evaluation and learning,2011, arXiv preprintarXiv:1103
 Leave no trace: Learning to reset for safeand autonomous reinforcement learning,2017, arXiv preprint arXiv:1711
 Dual control theory,1960, i
 Learning robust rewards with adversarial inverse reinforcementlearning,2017, arXiv preprint arXiv:1710
 Transfer learning for related reinforcement learning tasks via image-to-image translation,2018, arXiv preprint arXiv:1806
 Soft actor-critic: Off-policy maximumentropy deep reinforcement learning with a stochastic actor,2018, arXiv preprint arXiv:1801
 Generative adversarial imitation learning,2016, In Advances in neural informationprocessing systems
 Fcns in the wild: Pixel-level adversarial andconstraint-based adaptation,2016, arXiv preprint arXiv:1612
 Robust and efficient transferlearning with hidden parameter markov decision processes,2017, In Advances in neural information processingsystems
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Probabilistic graphical models: principles and techniques,2009, MIT press
 The transferability approach: Crossing the realitygap in evolutionary robotics,2012, IEEE Transactions on Evolutionary Computation
 A review of domain adaptation without target labels,2019, IEEE transactionson pattern analysis and machine intelligence
 Knowledge transfer in reinforcement learning,2008, PhD thesis
 Reinforcement learning and control as probabilistic inference: Tutorial and review,2018, arXivpreprint arXiv:1805
 Detecting and correcting for label shift with black boxpredictors,2018, arXiv preprint arXiv:1802
 System identification,1999, Wiley encyclopedia of electrical and electronics engineering
 Risk-sensitive reinforcement learning,2002, Machine learning
 Learning in implicit generative models,2016, arXiv preprintarXiv:1610
 Safe and efficient Off-POliCy reinforce-ment learning,2016, In Advances in Neural Information Processing Systems
 Sim-to-real transfer of roboticcontrol with dynamics randomization,2018, In 2018 IEEE international conference on robotics and automation(ICRA)
 Epopt: Learning robust neuralnetwork policies using model ensembles,2016, arXiv preprint arXiv:1610
 Efficient off-policy meta-reinforcement learning via probabilistic context variables,2019, In International conference on machine learning
 Cad2rl: Real single-image flight without a single real image,2016, arXivpreprint arXiv:1611
 Adaptive control of linearizable systems,1989, IEEE Transactions onAutomatic Control
 Proximal policy optimizationalgorithms,2017, arXiv preprint arXiv:1707
 Improving action selection in mdp’s via knowledge transfer,2005, In AAAI
 V-mpo: On-policy maximum a posteriori policyoptimization for discrete and continuous control,2019, arXiv preprint arXiv:1909
 Scaling up robust mdps by reinforcement learning,2013, arXiv preprintarXiv:1306
 Adaptive model predictivecontrol for constrained linear systems,2013, In 2013 European Control Conference (ECC)
 Cycle-consistent adversarial learning as approximatebayesian inference,2018, arXiv preprint arXiv:1806
 Linearly-solvable markov decision problems,2007, In Advances in neural information processingsystems
 Robot trajectory optimization using approximate inference,2009, In Proceedings of the 26th annualinternational conference on machine learning
 Generative adversarialnets from a density ratio estimation perspective,2016, arXiv preprint arXiv:1610
 Planning and execution using inaccuratemodels with provable guarantees,2020, arXiv preprint arXiv:2003
 Neural networks for control and system identification,1989, In Proceedings of the 28th IEEEConference on Decision and Control
 Model predictive path integral control usingcovariance variable importance sampling,2015, arXiv preprint arXiv:1509
 Adaptive dual control methods: An overview,1995, In Adaptive Systems in Control and SignalProcessing 1995
 Mutual alignment transfer learning,2017, arXiv preprintarXiv:1707
 Preparing for the unknown: Learning a universal policy withonline system identification,2017, arXiv preprint arXiv:1702
 Unpaired image-to-image translation usingcycle-consistent adversarial networks,2017, In Proceedings of the IEEE international conference on computervision
 Fast model identification via physicsengines for data-efficient policy search,2017, arXiv preprint arXiv:1710
