title,year,conference
 Deep learning for segmentation of brain tumors: Impactof cross-institutional training and testing,2018, Med Phys
 Language models are few-shot learners,2020, arXiv preprint arXiv:2005
 Unlabeled dataimproves adversarial robustness,2019, In Advances in Neural Information Processing Systems (NeurIPS)
 Multitask learning,1997, Machine Learning
 Self-training avoids using spurious featuresunder domain shift,2020, In Advances in Neural Information Processing Systems (NeurIPS)
 Global discrimination of land cover types frommetrics derived from AVHRR pathfinder data,1995, Remote Sensing of Environment
 BERT: Pre-training of deepbidirectional transformers for language understanding,2019, In Association for Computational Linguistics(ACL)
 Random forests for landcover classification,2006, Pattern Recognition Letters
 Deep residual learning for imagerecognition,2016, In Computer Vision and Pattern Recognition (CVPR)
 Using pre-training can improve model robustnessand uncertainty,2019, In International Conference on Machine Learning (ICML)
 Using self-supervised learningcan improve model robustness and uncertainty,2019, In Advances in Neural Information ProcessingSystems (NeurIPS)
 Cycada: Cycle consistent adversarial domain adaptation,2018, In InternationalConference on Machine Learning (ICML)
 Random design analysis of ridge regression,2012, InConference on Learning Theory (COLT)
 Removing spurious features can hurt accuracy and affect groups dis-proportionately,2021, In ACM Conference on Fairness
 1dconvolutional neural networks and applications: A survey,2019, arXiv preprint arXiv:1905
 Imagenet classification with deepconvolutional neural networks,2012, In Advances in Neural Information Processing Systems (NeurIPS)
 Understanding self-training for gradual domainadaptation,2020, In International Conference on Machine Learning (ICML)
 Deep learning classification of land coverand crop types using remote sensing data,2017, IEEE Geoscience and Remote Sensing Letters
 Machine learning ingeosciences and remote sensing,2016, Geoscience Frontiers
 Robustness to adversarialperturbations in learning from incomplete data,2019, In Advances in Neural Information ProcessingSystems (NeurIPS)
 Justifying recommendations using distantly-labeledreviews and fine-grained aspects,2019, In Empirical Methods in Natural Language Processing (EMNLP)
 U-Net: Convolutional networks for biomedicalimage segmentation,2015, arXiv
 Breeds: Benchmarks for subpopulationshift,2020, arXiv
 A DIRT-T approach to unsuperviseddomain adaptation,2018, In International Conference on Learning Representations (ICLR)
 Intriguing properties of neural networks,2014, In International Conference on LearningRepresentations (ICLR)
 Topics in random matrix theory,2012, American Mathematical Society
 Measuring robustness to natural distribution shifts in image classification,2020, arXiv preprintarXiv:2007
 On the theory of transfer learning: The importanceof task diversity,2020, arXiv
 Weaklysupervised deep learning for segmentation of remote sensing imagery,2020, Remote Sensing
 Understanding and improving information transferin multi-task learning,2020, In International Conference on Learning Representations (ICLR)
 Transfer learning fromdeep features for remote sensing and poverty mapping,2016, In Association for the Advancement ofArtificial Intelligence (AAAI)
 Self-training with noisy studentimproves imagenet classification,2020, arXiv
