title,year,conference
 Semi-conditional normalizing flows for semi-supervised learning,2019, INNFw
 SegNet: A deep convolutional encoder-decoder architecture for image segmentation,2017, TPAMI
 A theoretical analysis of feature pooling in visualrecognition,2010, In ICML
 Encoder-decoder with atrous separable convolution for semantic image segmentation,2018, In ECCV
 ImageNet: A large-scalehierarchical image database,2009, In CVPR
 Density estimation using real NVP,2017, InICLR
 Efficient lifting scheme based superresolution image reconstruction using low resolution images,2014, In Advanced Computing
 Neural network model for a mechanism of pattern recognition unaffected byshift in position-neocognitron,1979, IEICE Technical Report
 A self-organizing neural network model for a mechanism of pattern recogni-tion unaffected by shift in position,1980, Biol
 Deep sparse rectifier neural networks,2011, InAISTATS
 Deep residual learning for image recog-nition,2016, In CVPR
 Benchmarking neural network robustness to commoncorruptions and surface variations,2019, In ICLR
 Semi-supervised learn-ing with normalizing flows,2020, In ICML
 i-RevNet: Deep invertible net-works,2018, In ICLR
 Gaussian-based pooling for convolutional neural networks,2019, In NeurIPS
 Global feature guided local pooling,2019, In ICCV
 Imagenet classification with deep convo-lutional neural networks,2012, In NIPS
 Handwritten digit recognition with a back-propagation net-work,1990, In NIPS
 Automatic differentiation in PyTorch,2001, 2017
 Spectral representations for convolutional neuralnetworks,2015, In NeurIPS
 Deep adaptive wavelet network,2020, In WACV
 U-Net: Convolutional networks for biomed-ical image segmentation,2015, In MICCAI
 Detail-preserving pooling indeep networks,2018, In CVPR
 Evaluation of pooling operations in convolu-tional architectures for object recognition,2010, In ICANN
 Real-time single image and video super-resolution using an efficientsub-pixel convolutional neural network,2016, In CVPR
 Very deep convolutional networks for large-scale imagerecognition,2015, In ICLR
 Striving forsimplicity: The all convolutional net,2015, In ICLR
 Wavelet pooling for convolutional neural networks,2018, In ICLR
 Adaptive denoising based on liftingscheme,2004, In ICSP
 Stochastic pooling for regularization of deep convolutionalneural networks,2013, arXiv preprint arXiv:1301
 S3Pool: Pooling with stochastic spatial sampling,2017, In CVPR
 Making convolutional networks shift-invariant again,2019, In ICML
 Nonlinear wavelets and BP neural networks adaptive liftingscheme,2010, In ICACIA
1 and is reduced by multiplying 0,2017,1 after 80 and 120 epochs for atotal of 160 epochs
