title,year,conference
 The best of bothworlds: Combining cnns and geometric constraints for hierarchical motion segmentation,2018, In CVPR
 Object segmentation by long term analysis of point trajectories,2010, InECCV
 Towards segmenting anything that moves,2019, InICCV Workshop
 Neural scenerepresentation and rendering,2018, Science
 Learning to segment movingobjects in videos,2015, In CVPR
 Neural expectation maximization,2017, InNeurIPS
 Multi-Object Representation Learningwith Iterative Variational Inference,2019, In ICML
 Deep residual learning for imagerecognition,2015, In CVPR
 Toward object discovery and modeling via3-d scene comparison,2011, In ICRA
 Crisp boundary detection usingpointwise mutual information,2014, In ECCV
 Reasoning about physical interactions with object-oriented prediction and planning,2018, In ICLR
 Schema networks: Zero-shottransfer with a generative causal model of intuitive physics,2017, In ICML
 Auto-encoding variational bayes,2014, In ICLR
 Semi-supervisedlearning with deep generative models,2014, In NeurIPS
 Flexible neural representation for physics prediction,2018, In NeurIPS
 Dops: Learning to detect 3dobjects and predict their 3d shapes,2020, In CVPR
 Stochastic backpropagation and approximateinference in deep generative models,2014, In ICML
 Unsupervised learning of 3d structure from images,2016, In NeurIPS
 Intphys: A framework and benchmark for visual intuitive physicsreasoning,2018, arXiv:1803
 Learning to simulate complex physics with graph networks,2020, In ICML
 Normalized cuts and image segmentation,2000, IEEE TPAMI
 Scene representation networks: Contin-uous 3d-structure-aware neural scene representations,2019, In NeurIPS
 Modeling expectation violation in intuitive physics with coarse probabilistic objectrepresentations,2019, In NeurIPS
 Core knowledge,2007, Dev
 Relational neuralexpectation maximization: Unsupervised discovery of objects and their interactions,2018, In ICLR
 Entity abstraction in visual model-based reinforcementlearning,2019, In CoRL
 Zero-shot video objectsegmentation via attentive graph neural networks,2019, In ICCV
 Learning to see physicsvia visual de-animation,2017, In NeurIPS
 Object discovery in videos as foregroundmotion clustering,2019, In CVPR
 Perspective transformer nets:Learning single-view 3d object reconstruction without 3d supervision,2016, In NeurIPS
 Unsupervised movingobject detection via contextual information separation,2019, In CVPR
 Anchordiffusion for unsupervised video object segmentation,2019, In ICCV
