title,year,conference
 Training Connectionist Networks with Queries andSelective Sampling,1990, Neural Information Processing Systems
 Active learning for mispecified generalized linear models,2006, Neural InformationProcessing Systems
 Active learning for probabilistic structured prediction ofcuts and matchings,2019, volume 97 of Proceedings ofMachine Learning Research
 Deep Learning From Multiple Crowds:A Case Study of Humanitarian Mapping,1558, IEEE Transactions on Geoscience and Remote Sensing
 Unbiased online activelearning in data streams,2011, KDD ’11
 Selection via Proxy: Efficient Data Selection for DeepLearning,2020, In Eighth International Conference on Learning Representations
 Hierarchical sampling for active learning,2008, International Conferenceon Machine Learning
 Radial Bayesian Neural Networks: RobustVariational Inference In Big Models,2020, Proceedings of the 23rd International Conference on ArtificialIntelligence and Statistics
 Dropout as a Bayesian Approximation: Representing ModelUncertainty in Deep Learning,2015, Proceedings of the 33rd International Conference on MachineLearning
 Concrete Dropout,2017, Neural Information Processing Systems
 Upal: Unbiased pool based active learning,2012, Artificial Intelligenceand Statistics
 Active Learning WithConvolutional Neural Networks for Hyperspectral Image Classification Using a New BayesianApproach,1558, IEEE Transactions on Geoscience and Remote Sensing
 Deep Residual Learning for ImageRecognition,2016, CVPR
 Bayesian Active Learning forClassification and Preference Learning,2011, arXiv
 Active Learning withPartial Feedback,2019, In International Conference on Learning Representations
 Optimal sampling in unbiased activelearning,2020, Artificial Intelligence and Statistics
 Introduction tovariational methods for graphical models,1999, Machine Learning
 BatchBALD: Efficient and Diverse BatchAcquisition for Deep Bayesian Active Learning,2019, arXiv:1906
 Activelearning for cost-sensitive classification,2017, volume 70 of Proceedings of Machine Learning Research
 A sequential algorithm for training text classifiers,1994, InProceedings of the 17th annual international ACM SIGIR conference on Research and developmentin information retrieval
 Practical Obstacles to Deploying ActiveLearning,2019, Empirical Methods in Natural Language Processing
 Information-Based Objective Functions for Active Data Selection,1992, NeuralComputation
 Randomized Prior Functions for Deep ReinforcementLearning,2018, Neural Information Processing Systems
 Active Learning for Convolutional Neural Networks: A Core-SetApproach,2018, In International Conference on Learning Representations
 Active Learning Literature Survey,2010, Machine Learning
 Deep Bayesian Active Learning for Natural LanguageProcessing: Results of a Large-Scale Empirical Study,2018, In Proceedings of the 2018 Conference onEmpirical Methods in Natural Language Processing
 Active learning for misspecified models,2006, Neural Information Processing Systems
 Activelearning for decision-making from imbalanced observational data,2019, volume 97 of Proceedingsof Machine Learning Research
 Cost-Effective Active Learningfor Deep Image Classification,1701, IEEE Transactions on Circuits and Systems for Video Technology
