title,year,conference
 A note on the inception score,2018, arXiv preprint arXiv:1801
 Seeing what a gan cannot generate,2019, In Proceedings of the IEEE InternationalConference on Computer Vision
 Pros and cons of gan evaluation measures,2019, Computer Vision and Image Understanding
 Large scale GAN training for high fidelitynatural image synthesis,2019, In International Conference on Learning Representations
 A simple framework forcontrastive learning of visual representations,2020, arXiv preprint arXiv:2002
 Improved baselines with momentumcontrastive learning,2020, arXiv preprint arXiv:2003
 ImageNet: A Large-Scale HierarchicalImage Database,2009, In CVPR09
 Using self-supervised learningcan improve model robustness and uncertainty,2019, In Advances in Neural Information ProcessingSystems
 A style-based generator architecture for generativeadversarial networks,2019, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Analyz-ing and improving the image quality of stylegan,2019, arXiv preprint arXiv:1912
 Improvedprecision and recall metric for assessing generative models,2019, In Advances in Neural InformationProcessing Systems
 COCO-GAN: generation by parts via conditional coordinating,2019, In IEEE InternationalConference on Computer Vision (ICCV)
 Spectral normalizationfor generative adversarial networks,2018, In International Conference on Learning Representations
 Reliablefidelity and diversity metrics for generative models,2020, arXiv preprint arXiv:2002
 Variationalapproaches for auto-encoding generative adversarial networks,2017, arXiv preprint arXiv:1706
 Assess-ing generative models via precision and recall,2018, In Advances in Neural Information ProcessingSystems
 Rethink-ing the inception architecture for computer vision,2016, In Proceedings of the IEEE conference oncomputer vision and pattern recognition
 Rpgan: Gans interpretability via random routing,2019, arXivpreprint arXiv:1912
 Lsun:Construction of a large-scale image dataset using deep learning with humans in the loop,2015, arXivpreprint arXiv:1506
 Hype: A benchmark for human eye perceptual evaluation of generative models,2019, In Advancesin Neural Information Processing Systems
