title,year,conference
 Once-for-all: Train one networkand specialize it for efficient deployment,2019, arXiv preprint arXiv:l908
 Muffnet: Multi-layer featurefederation for mobile deep learning,2019, In Proceedings of the IEEE International Conference onComputer Vision Workshops
 Network ad-justment: Channel search guided by flops utilization ratio,2020, arXiv preprint arXiv:2004
 Legr: Filter pruning via learnedglobal ranking,2019, arXiv preprint arXiv:1904
 Imagenet: A large-scalehierarchical image database,2009, In 2009 IEEE conference on computer vision and pattern recognition
 Network pruning via transformable architecture search,2019, In Advances inNeural Information Processing Systems
 More is less: A more complicatednetwork with less inference complexity,2017, pp
 Dynamic channelpruning: Feature boosting and suppression,2018, arXiv preprint arXiv:1810
 Dmcp: EHfferentiable ɪnarkov channelpruning for neural networks,2020, arXiv preprint arXiv:2005
 Deep residual learning for imagerecognition,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Soft filter pruning for acceleratingdeep convolutional neural networks,2018, arXiv preprint arXiv:1808
 Filter pruning via geometric medianfor deep convolutional neural networks acceleration,2019, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition
 Meta filter pruning to accelerate deep convolutionalneural networks,2019, arXiv: Computer Vision and Pattern Recognition
 Amc: Automl for modelcompression and acceleration on mobile devices,2018, In Proceedings of the European Conference onComputer Vision (ECCV)
 Distilling the knowledge in a neural network,2015, arXivpreprint arXiv:1503
 Tf-nas: Rethinking three search freedoms of latency-constraineddifferentiable neural architecture search,2020, arXiv preprint arXiv:2008
 Channel gatingneural networks,2019, In Advances in Neural Information Processing Systems
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2015, arXiv preprint arXiv:1502
 Learning student networks with few data,2020, InAAAI
 Pruning filters forefficient convnets,2016, arXiv: Computer Vision and Pattern Recognition
 DARTS: differentiable architecture search,2019, In 7thInternational Conference on Learning Representations
 Metapruning: Meta learning for automatic neural network channel pruning,2019, In Proceedingsof the IEEE International Conference on Computer Vision
 Learn-ing efficient convolutional networks through network slimming,2017, In Proceedings of the IEEEInternational Conference on Computer Vision
 Autopruner: An end-to-end trainable filter pruning method for efficientdeep model inference,2018, arXiv preprint arXiv:1805
 Mo-bilenetv2: Inverted residuals and linear bottlenecks,2018, In Proceedings of the IEEE conference oncomputer vision and pattern recognition
 Very deep convolutional networks for large-scale imagerecognition,2014, arXiv preprint arXiv:1409
 Efficientnet: Rethinking model scaling for convolutional neuralnetworks,2019, pp
 Bringing giant neural networks down toearth with unlabeled data,2019, arXiv preprint arXiv:1907
 Pruningfrom scratch,2019, arXiv: Computer Vision and Pattern Recognition
 Genetic algorithms and neuralnetworks: Optimizing connections and connectivity,1990, Parallel computing
 Ista-nas: Efficient andconsistent neural architecture search by sparse coding,2020, arXiv preprint arXiv:2010
 Goodsubnetworks provably exist: Pruning via greedy forward selection,2020, arXiv: Learning
 Learning from multiple teacher networks,2017, InProceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery andData Mining
 Greedynas:Towards fast one-shot nas with greedy supemet,2020, In Proceedings of the IEEE∕CVF Conference onComputer Vision and Pattern Recognition
 Gate decorator: Global filterpriming method for accelerating deep convolutional neural networks,2019, In Advances in NeuralInformation Processing Systems
 Discrimination-aware channel pruning for deep neural networks,2018, In Advances inNeural Information Processing Systems
