title,year,conference
 Representation learning: A review andnew perspectives,2013, IEEE Trans
 Understanding and improvinginterpolation in autoencoders via an adversarial regularizer,2019, In 7th International Conference onLearning Representations
 Deep clustering for unsu-pervised learning of visual features,2018, In Vittorio Ferrari
 A simple frameworkfor contrastive learning of visual representations,2020, CoRR
 Infogan:Interpretable representation learning by information maximizing generative adversarial nets,2016, InDaniel D
 Discovering hidden fac-tors of variation in deep networks,2015, In Yoshua Bengio and Yann LeCun (eds
 Autoaugment:Learning augmentation policies from data,2018, CoRR
 Imagenet: A large-scalehierarchical image database,2009, In 2009 IEEE Computer Society Conference on Computer Visionand Pattern Recognition (CVPR 2009)
 Unsupervised learning of disentangled representationsfrom video,2017, In Isabelle Guyon
 Deep unsupervised clustering with gaussian mixturevariational autoencoders,2016, CoRR
 Adversarially learned inference,2017, In 5th International Conferenceon Learning Representations
 Why does unsuPervised Pre-training helP deeP learning? J,2010, Mach
 Model-agnostic meta-learning for fast adaPtationof deeP networks,2017, In Doina PrecuP and Yee Whye Teh (eds
 Probabilistic model-agnostic meta-learning,2018, In SamyBengio
 Meta-learning with warPed gradient descent,2020, In 8th International Conference on LearningRepresentations
 Neural Processes,2018, CoRR
 beta-vae: Learning basic visual concePts with aconstrained variational framework,2017, In 5th International Conference on Learning Representations
 Unsupervised learning via meta-learning,2019, In 7thInternational Conference on Learning Representations
 Variational deep em-bedding: An unsupervised and generative approach to clustering,2017, In Carles Sierra (ed
 Unsupervised meta-learning for few-shot image classification,2019, In Hanna M
 Disentangling by factorising,2018, In Jennifer G
 Adam: A method for stochastic optimization,2015, In Yoshua Bengioand Yann LeCun (eds
 Auto-encoding variational bayes,2014, In Yoshua Bengio and YannLeCun (eds
 Siamese neural networks for one-shotimage recognition,2015, In Proceedings of the 32th International Conference on Machine Learning
 Data-dependent initializationsof convolutional neural networks,2016, In Yoshua Bengio and Yann LeCun (eds
 One shot learningof simple visual concepts,2011, In Laura A
 Gradient-based meta-learning with learned layerwise metric andsubspace,2018, In Jennifer G
 Meta-sgd: Learning to learn quickly for fewshot learning,2017, CoRR
 Disen-tangling factors of variation in deep representation using adversarial training,2016, In Daniel D
 A simple neural attentive meta-learner,2018, In 6th International Conference on Learning Representations
 IADAM: task dependent adaptivemetric for improved few-shot learning,2018, In Samy Bengio
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2016, In Yoshua Bengio and Yann LeCun (eds
 Unsupervised pretraining for sequence to se-quence learning,2017, In Martha Palmer
 Continual unsupervised representation learning,2019, In Hanna M
 Visualizing time-dependent datausing dynamic t-sne,2016, In Enrico Bertini
 Learning to disentangle factorsof variation with manifold interaction,2014, In Proceedings of the 31th International Conference onMachine Learning
 Simple and effective VAE training with cali-brated decoders,2020, CoRR
 In Daniel D,2016, Lee
 Attention is all you need,2017, In Isabelle Guyon
 Match-ing networks for one shot learning,2016, In Daniel D
