title,year,conference
 In S,2018, Bengio
 Towards better understanding ofgradient-based attribution methods for deep neural networks,2017, CoRR
 Interpretable explanations of black boxes by meaningful perturba-tion,2017, CoRR
 Understanding deep networks via extremal per-turbations and smooth masks,2019, ICCV
 Understanding black-box predictions via influence functions,2017, CoRR
 Rise: Randomized input sampling for explanation ofblack-box models,2018, CoRR
 Grad-cam: Visual explanations from deep networks via gradient-based local-ization,2016, CoRR
 Deep inside convolutional networks:Visualising image classification models and saliency maps,2013, CoRR
 Visualizing the impact of feature attribution base-lines,2020, Distill
 Axiomatic attribution for deep networks,2017, CoRR
 Efficientnet: Rethinking model scaling for convolutional neuralnetworks,2019, CoRR
