title,year,conference
 Neuro-dynamic programming,1996, Athena Scientific
 The O,2000,D
 The loss surfaces of multilayernetworks,2015, Proceedings of the Eighteenth International Conference on Artificial Intelligence andStatistics
 A theoretical analysis of deep q-learning,2020, CoRR
 Ergodic properties of markov processes,2018, Lecture notes
 GANs trainedby a two time-scale update rule converge to a Nash equilibrium,2017, In I
 Minmax optimization: Stable limit points of gradient descentascent are locally optimal,2019, ArXiv
 Two time-scale stochastic approximation with controlled Markovnoise and off-policy temporal-difference learning,2017, Mathematics of Operations Research
 Generalization in deep learning,2017, arXiv
 Effect of depth and width on local minima in deeplearning,2019, Neural Computation
 Actor-critic algorithms,2000, Advances in neural information processingsystems
 On actor-critic algorithms,2003, SIAM J
 Stochastic Approximation Methods for Constrained and UnconstrainedSystems,1978, Applied Mathematical Sciences
 Convergent temporal-difference learning with arbitrary smooth function approximation,2009, In Y
 On the almost sure convergence of stochasticgradient descent in non-convex problems,2020, ArXiv
 Human-level control through deep reinforce-ment learning,2015, Nature
 A dual back-propagation scheme for scalar reinforcement learning,1987, In Proceedings ofthe Ninth Annual Conference of the Cognitive Science Society
 Dota 2 with large scale deep reinforcement learning,2019, arXiv
 A stochastic approximation method,1951, Ann
 Dynamic Error Propagation Networks,1989, PhD thesis
 Dynamic reinforcement driven error propagation networks with applica-tion to game playing,1989, In Proceedings of the 11th Conference of the Cognitive Science Society
 Trust region policy optimization,2015, ArXiv
 Proximal policy optimizationalgorithms,2018, ArXiv
 Convergence results for single-step on-policy reinforcement-learning algorithms,2000, Machine Learning
 Reinforcement Learning: An Introduction,2018, MIT Press
 Asynchronous stochastic approximation and q-learning,1994, Machine Learning
 Grandmaster level in StarCraft II using multi-agentreinforcement learning,2019, Nature
 Two time-scale off-policy td learning: Non-asymptotic analysis overMarkovian samples,2019, In Advances in Neural Information Processing Systems 32
 Provably global convergence of actor-critic: A casefor linear quadratic regulator with ergodic cost,2019, In Advances in Neural Information ProcessingSystems 32
