title,year,conference
 Synthesizing Robust AdversarialExamples,2018, In ICML
 Towards Evaluating the Robustness of Neural Networks,2017, In2017 IEEE Symposium on Security and Privacy (SP)
 ShapeNet: An Information-Rich 3DModel Repository,2015, arXiv preprint arXiv:1512
 Learning Implicit Fields for Generative Shape Modeling,2019, In CVPR
 Self-Robust 3D Point Recognition via Gather-Vector Guidance,2020, In CVPR
 Generative Adversarial Nets,2014, In NeurIPS
 Explaining and Harnessing AdversarialExamples,2014, arXiv preprint arXiv:1412
 AdvPC: Transferable AdversarialPerturbations on 3D Point Clouds,2020, In ECCV
 MonteCarlo Convolution for Learning on Non-Uniformly Sampled Point Clouds,2018, TOG
 Adam: A Method for Stochastic Optimization,2014, arXiv preprintarXiv:1412
 Extending Adversarial Attacks and Defenses to Deep 3D PointCloud Classifiers,2019, In ICIP
 Marching Cubes: A high resolution 3D surface construc-tion algorithm,1987, SIGGRAPH
 Implicit Surface Representations As Layers in Neural Networks,2019, In ICCV
 DeepFool: A Simple andAccurate Method to Fool Deep Neural Networks,2016, In CVPR
 UniversalAdversarial Perturbations,2017, In CVPR
 Distillation as aDefense to Adversarial Perturbations Against Deep Neural Networks,2016, In 2016 IEEE Symposiumon Security and Privacy (SP)
 Convolu-tional Occupancy Networks,2020, In ECCV
 PointNet: Deep Learning on Point Setsfor 3D Classification and Segmentation,2017, In CVPR
 PointNet++: Deep HierarchicalFeature Learning on Point Sets in a Metric Space,2017, In NeurIPS
 KPConv: Flexible and Deformable Convolution for Point Clouds,2019, InICCV
 Robust Adversarial Objects against DeepLearning Models,2020, In AAAI
 PointConv: Deep Convolutional Networks on 3D PointClouds,2019, In CVPR
 3D ShapeNets: A Deep Representation for Volumetric Shapes,2015, In CVPR
 Mitigating AdversarialEffects Through Randomization,2017, arXiv preprint arXiv:1711
 AdversarialAttack and Defense on Point Sets,2019, arXiv preprint arXiv:1902
 PU-Net: PointCloud Upsampling Network,2018, In CVPR
 DUP-Net:Denoiser and Upsampler Network for 3D Adversarial Point Clouds Defense,2019, In ICCV
 LG-GAN: Label Guided Adversarial Network for Flexible TargetedAttack of Point Cloud Based Deep Networks,2020, In CVPR
