title,year,conference
 Spectral networks and locallyconnected networks on graphs,2013, arXiv preprint arXiv:1312
 Knowledge-embedded routing networkfor scene graph generation,2019, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Detecting visual relationships with deep relational networks,2017, InProceedings of the IEEE conference on computer vision and Pattern recognition
 Solving the multiple instanceproblem with axis-parallel rectangles,1997, Artificial intelligence
 Fast r-cnn,2015, In Proceedings of the IEEE international conference on computer vision
 Mapping im-ages to scene graphs with permutation-invariant structured prediction,2018, In Advances in NeuralInformation Processing Systems
 Weakly-supervisedsemantic segmentation network with deep seeded region growing,2018, In Proceedings of the IEEEConference on Computer Vision and Pattern Recognition
 Bounding-box channelsfor visual relationship detection,2020, In European Conference on Computer Vision
 Image generation from scene graphs,2018, In Proceedingsof the IEEE conference on computer vision and pattern recognition
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Semi-supervised classification with graph convolutional net-works,2016, arXiv preprint arXiv:1609
 Semi-supervised classification with graph convolutional net-works,2017, ICLR
 The hungarian method for the assignment problem,1955, Naval research logisticsquarterly
 Vip-cnn: Visual phrase guidedconvolutional neural network,2017, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Visual relationship detection withlanguage priors,2016, In European Conference on Computer Vision
 A framework for multiple-instance learning,1998, In Advancesin neural information processing systems
 Glove: Global vectors for wordrepresentation,2014, In Proceedings of the 2014 conference on empirical methods in natural languageprocessing (EMNLP)
 Weakly-supervised learning of visualrelations,2017, In Proceedings of the IEEE International Conference on Computer Vision
 Faster r-cnn: Towards real-time objectdetection with region proposal networks,2015, In Advances in neural information processing systems
 The Wasserstein distance and approximation theorems,1985, Probability Theoryand Related Fields
 Zero-shot grounding of objects from natural languagequeries,2019, In Proceedings of the IEEE International Conference on Computer Vision
 Learning to composedynamic tree structures for visual contexts,2019, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition
 Exploring context and visual patternof relationship for scene graph generation,2019, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition
 Revisiting multiple instanceneural networks,2018, Pattern Recognition
 Scene graph parsing as dependencyparsing,2018, arXiv preprint arXiv:1803
 Scene graph generation by iterative mes-sage passing,2017, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Graph r-cnn for scene graphgeneration,2018, In Proceedings of the European conference on computer vision (ECCV)
 Auto-encoding scene graphs for imagecaptioning,2019, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Bridging knowledge graphs to generatescene graphs,2020, arXiv preprint arXiv:2001
 Learning visual commonsensefor robust scene graph generation,2020, European Conference on Computer Vision
 Neural motifs: Scene graph parsingwith global context,2018, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Visual translation embeddingnetwork for visual relation detection,2017, In Proceedings of the IEEE conference on computer visionand pattern recognition
 Ppr-fcn: Weakly supervised visualrelation detection via parallel pairwise r-fcn,2017, In Proceedings of the IEEE International Conferenceon Computer Vision
