title,year,conference
 Using pagerank to locally partition a graph,2007, InternetMathematics
 Fast and accu-rate network embeddings via very sparse random projection,2019, In Proceedings of the 28th ACMInternational Conference on Information and Knowledge Management
 Cluster-gcn: Anefficient algorithm for training deep and large graph convolutional networks,2019, In ACM SIGKDDConference on Knowledge Discovery and Data Mining (KDD)
 Introduction toalgorithms,2009, MIT press
 Testing expansion in bounded-degree graphs,2010, Combinatorics
 Wtf: Thewho to follow service at twitter,2013, In Proceedings of the 22nd international conference on WorldWide Web
 Noise-contrastive estimation: A new estimation principlefor unnormalized statistical models,2010, In Proceedings of the Thirteenth International Conference onArtificial Intelligence and Statistics
 Testing expansion in bounded degree graphs,2008, 35th ICALP
 Combining neural networkswith personalized pagerank for classification on graphs,2019, In International Conference on LearningRepresentations
 Neural word embedding as implicit matrix factorization,2014, In Advancesin neural information processing Systems
 Fast-ppr: Scaling personalizedpagerank estimation for large graphs,2014, In Proceedings of the 20th ACM SIGKDD internationalconference on Knowledge discovery and data mining
 Distributed representationsof words and phrases and their compositionality,2013, In C
 Asymmetric transitivity preserv-ing graph embedding,2016, In Proceedings of the 22nd ACM SIGKDD international conference onKnowledge discovery and data mining
 Thegraph neural network model,2008, IEEE Transactions on Neural Networks
 Biogrid: a general repository for interaction datasets,2006, Nucleic acids research
 Survey of local algorithms,2013, ACM Computing Surveys (CSUR)
 Social dimension approach to classification in large-scale networks,2010, 2010
 Verse: Versatile graphembeddings from similarity measures,2018, In Proceedings of the 2018 World Wide Web Conference
 Frede: Linear-space anytime graph embeddings,2020, arXiv preprint arXiv:2006
 Deep graph infomax,2018, arXiv preprint arXiv:1809
 Featurehashing for large scale multitask learning,2009, In Proceedings of the 26th annual internationalconference on machine learning
 Defining and evaluating network communitiesbased on ground-truth,2015, Knowledge and Information Systems
 Billion-scale network embeddingwith iterative random projection,2018, In 2018 IEEE International Conference on Data Mining (ICDM)
