title,year,conference
 Qsgd: Communication-efficient sgd via gradient quantization and encoding,2017, In I
 Spectral networks and locallyconnected networks on graphs,2014, In 2nd International Conference on Learning Representations
 FastGCN: Fast learning with graph convolutional networksvia importance sampling,2018, In International Conference on Learning Representations
 Large scaledistributed deep networks,2012, In F
 Communication quantizationfor data-parallel training of deep neural networks,2016, In Proceedings of the Workshop on MachineLearning in High Performance Computing Environments
 Fast graph representation learning with PyTorch Geometric,2019, InICLR Workshop on Representation Learning on Graphs and Manifolds
 Protein interface prediction usinggraph convolutional networks,2017, In I
 Representation learning on graphs: Methodsand applications,2017, IEEE Data Eng
 Adaptive sampling towards fast graphrepresentation learning,2018, In Advances in Neural Information Processing Systems (NIPS)
 Adam: A method for stochastic optimization,2014, InternationalConference on Learning Representations
 Deep gradient compression: Reducingthe communication bandwidth for distributed training,2018, In International Conference on LearningRepresentations
 Neugraph:Parallel deep neural network computation on large graphs,2019, In Proceedings of the 2019 USENIXConference on Usenix Annual Technical Conference
 Automatic differentiation inPyTorch,2017, In NIPS Autodiff Workshop
 Glove: Global vectors for wordrepresentation,2014, In Proceedings of the 2014 Conference on Empirical Methods in Natural LanguageProcessing (EMNLP)
 Optimization of collective communica-tion operations in mpich,2005, Int
 Terngrad:Ternary gradients to reduce communication in distributed deep learning,2017, In I
 A comprehensive survey on graph neuralnetworks,2020, IEEE Transactions on Neural Networks and Learning Systems
 Gradiveq: Vector quantization for bandwidth-efficient gradient aggregation in distributed cnn training,2018, In Proceedings of the 32Nd InternationalConference on Neural Information Processing Systems
