title,year,conference
 Brain-Like Object Recognition with High-Performing Shallow Recurrent ANNs,2019, In NeuralInformation Processing Systems (NeurIPS)
 ImageNet: A large-scale hierarchicalimage database,2009, In IEEE Conference on Computer Vision and Pattern Recognition
 Deep convolutional models improve predictions of macaque v1 responses to naturalimages,2017, bioRxiv
 High-level visual object representation in juvenile and adult primates,2018, PhD thesis
 Practising orientation identification improvesorientation coding in V1 neurons,2001, Nature
 Distilling the Knowledge in a Neural Network,2015, arXiv preprint
 On the efficacy of knowledge distillation,2019, In International Conferenceon Computer Vision (ICCV)
 Contrastive Representation Distillation,2019, arXiv preprint
 On the Robustness of Convolutional Neural Networksto Internal Architecture and Weight Perturbations,2017, arXiv preprint
 On the importance of singledirections for generalization,2018, In International Conference on Learning Representations (ICLR)
 Gradient Descent Happens in a Tiny Subspace,2018, arXiv preprint
 The Lottery TicketHypothesis at Scale,2019, arXiv preprint
 Deep Clustering for UnsupervisedLearning of Visual Features,2018, In European Conference on Computer Vision (ECCV)
 Unsupervised Feature Learning via Non-parametricInstance Discrimination,2018, In Computer Vision and Pattern Recognition (CVPR)
 Local aggregation for unsupervised learning of visualembeddings,2019, In International Conference on Computer Vision (ICCV)
 Data-Efficient Image Recognition with Contrastive Predictive Coding,2019, In Computer Vision andPattern Recognition (CVPR)
 Instance-level contrastive learning yields human brain-like representationwithout category-supervision,2020, bioRxiv preprint
 Unsupervised Neural Network Models of the Ventral Visual Stream,2020, bioRxiv preprint
 Attention-Gated Brain Propagation: HoW the braincan implement reward-based error backpropagation,2020, In Neural Information Processing Systems (NeurIPS)
 A functionaland perceptual signature of the second visual area in primates,2013, Nature Neuroscience
 Eye movements and vision,1967, Plenum Press
 The saccade main sequence revised: A fast and repeatable tool foroculomotor analysis,2020, Behavior Research Methods
 Delving Deep into Rectifiers: Surpassing Human-Level Performance on ImageNet Classification,2015, In Proceedings of the IEEE international conference oncomputer vision
 Visualizing and Understanding Convolutional NetWorks,2013, arXiv preprint
 Zoom In: AnIntroduction to Circuits,2020, Distill
 MobileNets: Efficient Convolutional Neural NetWorks for Mobile VisionApplications,2017, arXiv preprint
 Deep residual learning for image recognition,2016, InProceedings of the IEEE conference on computer vision and pattern recognition
 Hierarchical models of object recognition in cortex,1999, Natureneuroscience
 Development of spatial and temporalvision during childhood,1999, Vision Research
 Developmental neuroimaging of the human ventralvisual cortex,2008, Trends in Cognitive Sciences
 Competitive learning: From interactive activation to adaptive resonance,1987, Cognitive Science
 Theories of Error Back-Propagation in the Brain,2019, Trends in CognitiveSciences
 Estimating the Dimension ofa Model,1978, Annals of Statistics
