title,year,conference
 A comparison of extrinsicclustering evaluation metrics based on formal constraints,2009, Information retrieval
 Measures of clustering quality: A working set of axiomsfor clustering,2008, Advances in neural information processing systems
 Measures of clustering quality: A working set of axiomsfor clustering,2009, In Advances in neural information processing systems
 An impossibility theorem for clustering,2002, Advances in neural information processingsystems
 Ground truth bias in external cluster validity indices,0031, Pattern Recognition
 Standardized mutual information forclustering comparisons: One step further in adjustment for chance,2014, 31st International Conferenceon Machine Learning
 Relationship-based clustering and cluster ensembles for high-dimensional datamining,2002, PhD thesis
 Metric distances derived from cosine similarity and pearsonand spearman correlations,2012, arXiv preprint arXiv:1208
 Precision-recall balanced topic modelling,2019, In Advances inNeural Information Processing Systems
 Linkage based face clustering via graphconvolution network,2019, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 A comprehensive survey of clustering algorithms,2015, Annals of DataSCienCe
 A matrix is an ordered list of its rows,2021, An unordered list is a multiset
