title,year,conference
 Deep neural netWork fortraffic sign recognition systems: An analysis of spatial transformers and stochastic optimisationmethods,2018, Neural Networks
 Deep learning for anomaly detection: A survey,2019, arXivpreprint arXiv:1901
 Robust physical-world attacks on deep learningvisual classification,2018, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Making machine learning robust againstadversarial inputs,2018, Communications of the ACM
 A baseline for detecting misclassified and out-of-distributionexamples in neural netWorks,2017, International Conference on Learning Representations
 Deep anomaly detection With outlierexposure,2019, International Conference on Learning Representations
 Identifying medical diag-noses and treatable diseases by image-based deep learning,2018, Cell
 GloW: Generative floW With invertible 1x1 convolutions,2018, InAdvances in neural information processing systems
 Simple and scalable predic-tive uncertainty estimation using deep ensembles,2017, In Advances in neural information processingsystems
 Training confidence-calibrated classifiersfor detecting out-of-distribution samples,2018, International Conference on Learning Representations
 Enhancing the reliability of out-of-distributionimage detection in neural netWorks,2018, International Conference on Learning Representations
 To-Wards deep learning models resistant to adversarial attacks,2018, International Conference on LearningRepresentations
 ToWards neural netWorks that provably knoW When they don’tknoW,2020, International Conference on Learning Representations
 Deep neural networks are easily fooled: High confi-dence predictions for unrecognizable images,2015, In Proceedings of the IEEE conference on computervision and pattern recognition
 Likelihood ratios for out-of-distribution detection,2019, In Advances inNeural Information Processing Systems
 Detecting out-of-distribution examples with in-distribution examples and gram matrices,2019, NeurIPS 2019 Workshop on Safety and Robustness inDecision Making
 Group normalization,2018, In Proceedings of the European conference oncomputer vision (ECCV)
 The latent space has 128 dimensions,1263, After training
