title,year,conference
 Using confidence bounds for exploitation-exploration trade-offs,2002, J
 A distributional perspective on reinforcementlearning,2017, In Doina PrecUp and Yee Whye Teh (eds
 Ucb exploration via q-ensembles,2017, arXiv preprint arXiv:1706
 Better exploration with optimisticactor critic,2019, In Hanna M
 Estimating risk and uncertainty in deep reinforcement learning,2019, CoRR
 Implicit quantile networks for dis-tributional reinforcement learning,2018, In Jennifer G
 Distributional reinforcementlearning with quantile regression,2018, In Sheila A
 Dora the explorer: Directed outreachingreinforcement action-selection,2018, In International Conference on Learning Representations
 Addressing function approximation error inactor-critic methods,1582, In Jennifer G
 Soft actor-critic: Off-policymaximum entropy deep reinforcement learning with a stochastic actor,2018, In Jennifer G
 Vime:Variational information maximizing exploration,2016, In Advances in Neural Information ProcessingSystems
 Information directed sampling and bandits with het-eroscedastic noise,2018, In Sebastien Bubeck
 Distribu-tional soft actor critic for risk sensitive learning,2020, CoRR
 Efficient exploration with doubleuncertain value networks,2017, CoRR
 Information-directed exploration for deep reinforcement learning,2019, In 7th International Conference on LearningRepresentations
 Deep exploration via boot-strapped DQN,2016, In Daniel D
 Count-based ex-ploration with neural density models,2017, In Proceedings of the 34th International Conference onMachine Learning
 Curiosity-driven explorationby self-supervised prediction,2017, In Proceedings of the 34th International Conference on MachineLearning
 A bayesian framework for reinforcement learning,2000, In Pat Langley (ed
 Reinforcement learning - an introduction,1998, Adaptive computation andmachine learning
 On the likelihood that one unknown probability exceeds another in view ofthe evidence of two samples,1933, Biometrika
 Technical note q-learning,1992, Mach
