title,year,conference
 Learning optimal and fair decision treesfor non-discriminative decision-making,2019, In Proceedings of the AAAI Conference on ArtificialIntelligence
 Learning optimal classification trees: Strongmax-flow formulations,2020, arXiv preprint arXiv:2002
 In Proc,2019, of NeurIPS
 Optuna:A next-generation hyperparameter optimization framework,2019, In Proceedings of the 25rd ACMSIGKDD International Conference on Knowledge Discovery and Data Mining
 Differentiable Optimization-Based Modeling for Machine Learning,2019, PhD thesis
 Searching for exotic particles in high-energyphysics with deep learning,2014, Nature Communications
 Decision tree construction via linear programming,1992, Technical report
 Optimal decision trees,1996, Rensselaer Polytechnic Institute MathReport
 The million songdataset,2011, In Proc
 Nonlinear Programming,1999, Athena Scientific Belmont
 Optimal classification trees,2017, Machine Learning
 Comparative accuracies of artificial neural networks anddiscriminant analysis in predicting forest cover types from cartographic variables,1999, Computers andelectronics in agriculture
 Classification and regressiontrees,1984, CRC press
 XGBoost: A scalable tree boosting system,2016, In Proceedings ofthe 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining
 Optimization and nonsmooth analysis,1990, SIAM
 Differentiable learning of submodular models,2017, In Proc
 Learning graphical model parameters with approximate marginal inference,2013, IEEETransactions on Pattern Analysis and Machine Intelligence
 Optimal trees for prediction and prescription,2018, PhD thesis
 On differentiating parameterized argmin and argmax problems with application to bi-leveloptimization,2016, preprint arXiv:1607
 Optimal decision treesfor categorical data via integer programming,2018, arXiv preprint arXiv:1612
 Soft decision trees,2012, In Proceedings of the 21stInternational Conference on Pattern Recognition (ICPR2012)
 A hierarchical algo-rithm for extreme clustering,2017, In Proceedings of the 23rd ACM SIGKDD International Conferenceon Knowledge Discovery and Data Mining
 Efficient active algorithmsfor hierarchical clustering,2012, In ICML
 Random hingeforest for differentiable learning,2018, arXiv preprint arXiv:1802
 Interpretable classifiersusing rules and bayesian analysis: Building a better stroke prediction model,2015, The Annals of AppliedStatistics
 Generalized and scalableoptimal sparse decision trees,2020, In Intern
 Quasi-hyperbolic momentum and adam for deep learning,2018, arXiv preprintarXiv:1810
 SParseMAP: Differentiablesparse structured inference,2018, In Proc
 HyPerParameter oPtimization with aPProximate gradient,2016, In Proc
 Neural oblivious decision ensembles for deePlearning on tabular data,2019, arXiv preprint arXiv:1909
 Introducing LETOR 4,2013,0 datasets
 Induction of decision trees,1986, Machine Learning
 Meta-learning with imPlicitgradients,2019, In Proc
 Learning customized and optimized lists of rules with mathematicalProgramming,2018, Mathematical Programming Computation
 Concept acquisition through representational adjustment,1987, 1987
 Adaptiveneural trees,2019, In International Conference on Machine Learning
 An incremental approach to building acluster hierarchy,2002, In 2002 IEEE International Conference on Data Mining
 Deep neural decision trees,2018, arXivpreprint arXiv:1806
 Convex analysis in general vector spaces,2002, World Scientific
 Birch: an efficient data clustering method forvery large databases,1996, ACM sigmod record
 Birch: A new data clustering algorithm and itsapplications,1997, Data Mining and Knowledge Discovery
