title,year,conference
 Self-supervised learning by cross-modal audio-video clustering,2019, CoRR
 Soundnet: Learning sound representations fromunlabeled video,2016, In Advances in Neural Information Processing Systems 29: Annual Conferenceon Neural Information Processing Systems 2016
 Webly sUpervised learning of convolUtional networks,2015, In 2015IEEE International Conference on Computer Vision
 Imagenet: A large-scalehierarchical image database,2009, In 2009 IEEE Computer Society Conference on Computer Visionand Pattern Recognition (CVPR 2009)
 BERT: pre-training of deepbidirectional transformers for langUage Understanding,2019, In Proceedings of the 2019 Conference ofthe North American Chapter of the Association for Computational Linguistics: Human LanguageTechnologies
 Dynamonet: Dynamic action andmotion network,2019, CoRR
 UnsUpervised visUal representation learningby context prediction,2015, In 2015 IEEE International Conference on Computer Vision
 DUalencoding for zero-example video retrieval,2019, In IEEE Conference on Computer Vision and PatternRecognition
 Slowfast networks for videorecognition,2018, CoRR
 Self-sUpervised video repre-sentation learning with odd-one-oUt networks,2017, In 2017 IEEE Conference on Computer Vision andPattern Recognition
 Noise-contrastive estimation: A new estimation principlefor Unnormalized statistical models,2010, In Proceedings of the Thirteenth International Conferenceon Artificial Intelligence and Statistics
 Video representation learning by dense predictivecoding,2019, CoRR
 Deep residual learning for image recog-nition,2016, In 2016 IEEE Conference on Computer Vision and Pattern Recognition
 Learning deep representations by mutual information estimationand maximization,2019, In 7th International Conference on Learning Representations
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2015, In Proceedings of the 32nd International Conference on MachineLearning
 The kinetics hUman action video dataset,2017, CoRR
 Cooperative learning of aUdio and video modelsfrom self-sUpervised synchronization,2018, In Advances in Neural Information Processing Systems31: Annual Conference on Neural Information Processing Systems 2018
 Imagenet classification with deep con-volUtional neUral networks,2012, In Advances in Neural Information Processing Systems 25: 26thAnnual Conference on Neural Information Processing Systems 2012
 Unsupervised representa-tion learning by sorting sequences,2017, In IEEE International Conference on Computer Vision
 Spatial-aware object embeddings for zero-shot localizationand classification of actions,2017, In The IEEE International Conference on Computer Vision (ICCV)
 Learning a text-video embedding from incompleteand heterogeneous data,2018, CoRR
 Howto100m: Learning a text-video embedding by watching hundred million narrated videoclips,2019, CoRR
 Efficient estimation of word represen-tations in vector space,2013, In Yoshua Bengio and Yann LeCun (eds
 Actionflownet: Learningmotion representation for action recognition,2018, In 2018 IEEE Winter Conference on Applications ofComputer Vision
 Jointly modeling embedding andtranslation to bridge video and language,2016, In 2016 IEEE Conference on Computer Vision andPattern Recognition
 Universal dependency parsingfrom scratch,2018, In Proceedings of the CoNLL 2018 Shared Task: Multilingual Parsing from RawText to Universal Dependencies
 Faster R-CNN: towards real-time objectdetection with region proposal networks,2015, In Advances in Neural Information Processing Systems28: Annual Conference on Neural Information Processing Systems 2015
 UCF101: A dataset of 101 humanactions classes from videos in the wild,2012, CoRR
 Contrastive bidirectional trans-former for temporal representation learning,2019, CoRR
 Videobert: A jointmodel for video and language representation learning,2019, CoRR
 Contrastive multiview coding,2019,	CoRR
 Anticipating visual representations fromunlabeled video,2016, In 2016 IEEE Conference on Computer Vision and Pattern Recognition
 Learning correspondence from the cycle-consistency of time,2019, In IEEE Conference on Computer Vision and Pattern Recognition
 Learning and using thearrow of time,2018, In 2018 IEEE Conference on Computer Vision and Pattern Recognition
 Unsupervised feature learning via non-parametric instance discrimination,2018, In 2018 IEEE Conference on Computer Vision and PatternRecognition
 Rethinking spatiotem-poral feature learning: Speed-accuracy trade-offs in video classification,2018, In ECCV
 Self-supervised spa-tiotemporal learning via video clip order prediction,2019, In IEEE Conference on Computer Vision andPattern Recognition
 Self-supervised spa-tiotemporal learning via video clip order prediction,2019, In The IEEE Conference on Computer Visionand Pattern Recognition (CVPR)
 Temporal actiondetection with structured segment networks,2017, In IEEE International Conference on ComputerVision
 Unsupervised learning ofdepth and ego-motion from video,2017, In 2017 IEEE Conference on Computer Vision and PatternRecognition
