title,year,conference
 An introduction tomcmc for machine learning,2003, Machine Learning
 Context-specific indepen-dence in bayesian networks,2013, arXiv preprint arXiv:1302
 Tractable querying and learning in hybriddomains via sum-product networks,2018, arXiv preprint arXiv:1807
 Learning bayesian networks is np-complete,1996, In Learning from Data
 The winmine toolkit,2002, Technical report
 Efficient approximations for the marginal like-lihood of bayesian networks with hidden variables,1997, Machine Learning
 Modeling and reasoning with Bayesian networks,2009, Cambridge university press
 Sum-product graphical models,2020, Machine Learning
 Discriminative learning of sum-product networks,2012, In Advancesin Neural Information Processing Systems
 Learning the structure of sum-product networks,2013, In InternationalConference on Machine Learning
 Online structure learning for feed-forward and recurrent sum-product networks,2018, InAdvances in Neural Information Processing Systems
 Probabilistic sentential decision diagrams,2014, In InternationalConference on Principles of Knowledge Representation and Reasoning
 Probabilistic graphical models principles and techniques,2009, MITPress
 Learning the structure of probabilistic sen-tential decision diagrams,2017, In Proceedings of the 33rd Conference on Uncertainty in ArtificialIntelligence
 The randomized dependence coeffi-cient,2013, In Advances in Neural Information Processing Systems
 Learning arithmetic circuits,2012, arXiv preprint arXiv:1206
 Piecewise regression,1970, Regression
 Loopy belief propagation for approximate infer-ence: An empirical study,2013, arXiv preprint arXiv:1301
 Machine learning: a probabilistic perspective,2012, MIT press
 Causal inference in statistics: An overview,2009, Statistics Surveys
 Greedy part-wise learning of sum-productnetworks,2013, In Joint European Conference on Machine Learning and Knowledge Discovery inDatabases
 Sum-product networks: a new deep architecture,2011, In IEEEInternational Conference on Computer Vision Workshops
 Learning sum-product networks with direct andindirect variable interactions,2014, In International Conference on Machine Learning
 Learning bayesiannetworks with thousands of variables,2015, In Advances in Neural Information Processing Systems
 Learning treewidth-bounded bayesian networks with thousands of variables,2016, In Advances in Neural InformationProcessing Systems
 A survey on bayesian network structurelearning from data,2019, Progress in Artificial Intelligence
 Conditional sum-product networks: Imposing structure on deep proba-bilistic architectures,2019, arXiv preprint arXiv:1905
 Sum-product-quotient networks,2018, In International Conference onArtificial Intelligence and Statistics
 Bayesian learningof sum-product networks,2019, In Advances in Neural Information Processing Systems
 Dag-gnn: dag structure learning with graph neural net-works,2019, In International Conference on Machine Learning
