title,year,conference
 Openai gym,2016,(2016)
 The Oxford Handbook of Cognitive Science,2014, Oxford University Press
 Robots that can adapt likeanimals,2015, Nature
 Uncertain reward-transition mdps for negotiable reinforcement learning,2017, Technicalreport
 Learning modularneural network policies for multi-task and multi-robot transfer,2017, In 2017 IEEE InternationalConference on Robotics and Automation (ICRA)
 Pragmatic-Pedagogic value alignment,2017, arXiv preprint arXiv:1707
 Learning robust reWards With adverserial inverse re-inforcement learning,2018, In International Conference on Learning Representations
 CooPerative inversereinforcement learning,2016, In Advances in neural information processing systems
 Task transfer bypreference-based cost learning,2019, In Proceedings of the AAAI Conference on Artificial Intelligence
 Prospect theory: An analysis of decision under risk,2013, InHandbook of the fundamentals of financial decision making: Part I
 The surprising creativity ofdigital evolution: A collection of anecdotes from the evolutionary computation and artificial liferesearch communities,2018, arXiv preprint arXiv:1803
 From human to humanoid locomotion—aninverse optimal control approach,2010, Autonomous robots
 Algorithms for inverse reinforcement learning,2000, In Icml
 Bayesian inverse reinforcement learning,2007, In IJCAI
 Where do you think you’re going?: Inferring beliefsabout dynamics from behavior,2018, In Advances in Neural Information Processing Systems
 Planning for autonomous carsthat leverage effects on human actions,2016, In Robotics: Science and Systems
 Active preference-basedlearning of reward functions,2017, In Robotics: Science and Systems (RSS)
 Neural mechanismsmediating optimism bias,2007, Nature
 Risk-sensitive inversereinforcement learning via semi-and non-parametric methods,2017, arXiv preprint arXiv:1711
 Maximum entropy inversereinforcement learning,2008, In Aaai
 Modeling interaction via the principle ofmaximum causal entropy,2010, 2010
