title,year,conference
 Training with noise is equivalent to tikhonov regularization,1995, Neural computation
 Good semi-supervised learningthat requires a bad gan,2017, In Advances in neural information processing systems
 A cluster separation measure,1979, IEEE transactions on pattern analysisand machine intelligence
 Margingan: Adversarial training in semi-supervised learning,2019, In Advances inNeural Information Processing Systems
 Generative adversarial nets,2014, In Advances in neural information processing systems
 A database for handwritten text recognition research,1994, IEEE Transactions on patternanalysis and machine intelligence
 Semi-supervised learning with normalizingflows,2019, arXiv preprint arXiv:1912
 Adam: A method for stochastic optimization,2014, arXiv preprint arXiv:1412
 Semi-supervised learning with deepgenerative models,2014, In Advances in neural information processing systems
 Temporal ensembling for semi-supervised learning,2016, arXiv preprintarXiv:1610
 Pseudo-label: The simple and efficient semi-supervised learning method for deep neuralnetworks,2013, In Workshop on Challenges in Representation Learning
 A general graph-based semi-supervised learning with novelclass discovery,2010, Neural Computing andApplications
 Automatic differentiation in pytorch,2017, 2017
 Semi-supervised learning using an unsupervised atlas,2014, InJoint European Conference on Machine Learning and Knowledge Discovery in Databases
 Semi-supervised learning withladder networks,2015, In Advances in neural information processing systems
 The manifold tangent classifier,2011, InAdvances in neural information processing systems
 Regularization with stochastic transformations andperturbations for deep semi-supervised learning,2016, In Advances in neural information processingsystems
 Improved techniquesfor training gans,2016, In Advances in neural information processing systems
 Unsupervised and semi-supervised learning with categorical generative adversarialnetworks,2015, arXiv preprint arXiv:1511
 Striving for simplicity: The allconvolutional net,2014, arXiv preprint arXiv:1412
 Maximum-margin matrix factorization,2005, In Advances inneural information processing systems
 Label propagation through linear neighborhoods,2007, IEEE Transactions onKnowledge and Data Engineering
 Deep learning via semi-supervised embedding,2012, InNeural Networks: Tricks of the Trade
 Maximum margin clustering,2005, In Advances inneural information processing systems
 Projective label propagation by labelembedding,2015, In International Conference on Computer Analysis of Images and Patterns
 Semi-supervised image classification bynonnegative sparse neighborhood propagation,2015, In Proceedings of the 5th ACM on InternationalConference on Multimedia Retrieval
 Learning with local and globalconsistency,2004, In Advances in neural information processing systems
 Semi-supervised learning literature survey,2005, Technical report
 Learning from labeled and unlabeled data with label propagation,2002, 2002
 Positive and negative label propagations,2016, IEEETransactions on Circuits and Systems for Video Technology
