title,year,conference
 Constrained policy optimization,2017, arXivpreprint arXiv:1705
 Learning in-handmanipulation,2018, arXiv preprint arXiv:1808
 Model-checking algorithmsfor continuous-time markov chains,0098, IEEE Transactions on software engineering
 Reinforcement learning with probabilistic guarantees for autonomous driving,2019, arXivpreprint arXiv:1904
 A lyapunov-based approach to safe reinforcement learning,2018, In Neural Information Processing Systems 2018
 Lyapunov-based safe policy optimization for continuous control,2019, arXiv preprintarXiv:1901
 Reachability-based synthesis offeedback policies for motion planning under bounded disturbances,1612, In 2011 IEEE InternationalConference on Robotics and Automation
 New potential functions for mobile robot path planning,1042, IEEETransactions on robotics and automation
 Reinforcement learning for mdps with constraints,2006, In European Conference on MachineLearning
 Sim-to-real via sim-to-sim:Data-efficient robotic grasping via randomized-to-canonical adaptation networks,2018, arXiv preprintarXiv:1812
 Path planning and trackingfor vehicle collision avoidance based on model predictive control with multiconstraints,0018, IEEETransactions on Vehicular Technology
 Qt-opt: Scalable deepreinforcement learning for vision-based robotic manipulation,2018, arXiv preprint arXiv:1806
 Human-centered robotnavigation——towards a harmoniously human-robot coexisting environment,1552, IEEE Transactions onRobotics
 Incremental sampling-based algorithm for risk-aware planning under motionuncertainty,2014, In IEEE International Conference on Robotics and Automation
 Predictive control: with constraints,2002, Pearson education
 Human-level controlthrough deep reinforcement learning,0028, Nature
 Constrainedreinforcement learning has zero duality gap,2019, In Advances in Neural Information ProcessingSystems
 A potential field-based model predictive path-planning controller for autonomous road vehicles,1524, IEEE Transactionson Intelligent Transportation Systems
 A potential field-based model predictive path-planning controller for autonomous road vehicles,1524, IEEE Transactionson Intelligent Transportation Systems
 Mastering thegame of go with deep neural networks and tree search,2016, Nature
 Time-optimal multi-stage motionplanning with guaranteed collision avoidance via an open-loop game formulation,1467, In 2012 IEEEInternational Conference on Robotics and Automation
 Fast model predictive control using online optimization,1063, IEEETransactions on control systems technology
 Correct-by-synthesis reinforcement learning withtemporal logic constraints,1479, In Intelligent Robots and Systems (IROS)
