title,year,conference
 Sanitychecks for Saliency maps,2018, In Advances in Neural Information Processing Systems
 Recognition in terra incognita,2018, In Proceedings of theEuropean Conference on Computer Vision (ECCV)
 Domaingeneralization by solving jigsaw puzzles,2019, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition
 Domain generalization with domain-specific aggregationmodules,2018, In German Conference on Pattern Recognition
 Kernel measures ofconditional dependence,2008, In Advances in neural information processing systems
 Unsupervised domain adaptation by backpropagation,2015, InInternational conference on machine learning
 Domain generalizationfor object recognition with multi-task autoencoders,2015, In Proceedings of the IEEE internationalconference on computer vision
 Deep residual learning for imagerecognition,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Cycada: Cycle-consistent adversarial domain adaptation,2018, In Internationalconference on machine learning
 Feature alignment and restoration for domaingeneralization and adaptation,2020, arXiv preprint arXiv:2006
 Undoingthe damage of dataset bias,2012, In European Conference on Computer Vision
 Imagenet classification with deep convolu-tional neural networks,2012, In Advances in neural information processing systems
 Stable prediction with modelmisspecification and agnostic distribution shift,2020, In AAAI
 Episodictraining for domain generalization,2019, In Proceedings of the IEEE International Conference onComputer Vision
 Domain generalization with adver-sarial feature learning,2018, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Learning transferable features withdeep adaptation networks,2015, In International conference on machine learning
 Deep transfer learning with jointadaptation networks,2017, In International conference on machine learning
 Domain generalization using a mixture of multiple latentdomains,2020, In AAAI
 Domain generalization via invariantfeature representation,2013, In International Conference on Machine Learning
 Random features for large-scale kernel machines,2008, In Advances inneural information processing systems
 Smoothgrad:removing noise by adding noise,2017, arXiv preprint arXiv:1706
 Random selection of factors preserves thecorrelation structure in a linear factor model to a high degree,2018, Plos one
 Unbiased look at dataset bias,2011, In Proceedings of the 2011 IEEE Conferenceon Computer Vision and Pattern Recognition
 Curriculum domain adaptation for semantic segmenta-tion of urban scenes,2017, In Proceedings of the IEEE International Conference on Computer Vision
