title,year,conference
 Distributed optimization and statisticallearning via the alternating direction method of multipliers,2011, Foundations and Trends in MachineLearning
 Maximum likelihood from incomplete data viathe em algorithm,1977, JOURNAL OF THE ROYAL STATISTICAL SOCIETY
 Deep residual learning for image recog-nition,2016, IEEE Conference on Computer Vision and Pattern Recognition (CVPR’16)
 Densely con-nected convolutional networks,2017, In IEEE Conference on Computer Vision and Pattern Recognition(CVPR’17)
 An alternative to null-hypothesis significance tests,2005, Psychological science
 Auto-encoding variational bayes,2014, In International Conferenceon Learning Representations (ICLR’14)
 Federated optimization: Distributedoptimization beyond the datacenter,2015, NIPS Optimization for Machine Learning Workshop 2015
 Federated optimiza-tion: Distributed machine learning for on-device intelligence,2016, ArXiv
 Learning multiple layers of features from tiny images,2009, Technical report
 Gradient-based learning applied todocument recognition,1998, In Proceedings of the IEEE
 Scaling distributed machine learning with theparameter server,2014, In 11th USENIX Symposium on Operating Systems Design and Implementation(OSDr14)
 Mobilenetv2: Inverted residuals andlinear bottlenecks,2018, In IEEE Conference on Computer Vision and Pattern Recognition (CVPR’18)
 Communication-efficient distributed optimization usingan approximate newton-type method,2014, In Proceedings of the 31st International Conference onMachine Learning (ICML’14)
 Fashion-mnist: a novel image dataset for benchmark-ing machine learning algorithms,2017, 2017
 Zeno: Distributed stochastic gradient descent withsuspicion-based fault-tolerance,2019, In Proceedings of the 36th International Conference on MachineLearning (ICML’19)
 Deep learning with elastic averaging sgd,2015, InAdvances in Neural Information Processing Systems (NIPS'15)
 Federated learningwith non-iid data,2018, ArXiv
 Multi-objective evolutionary federated learning,2020, IEEE Transactions on NeuralNetworks and Learning Systems
