title,year,conference
 Ensemble knoWledge distillation for learning improvedand efficient netWorks,2019, arXiv preprint arXiv:1909
 KnoWledge distillation With feature mapsfor image classification,2018, In Asian Conference on Computer Vision
 Additive angular margin loss for deep facerecognition,2018, CoRR
 Arcface: Additive angular marginloss for deep face recognition,2019, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 LightWeight facerecognition challenge,2019, In Proceedings of the IEEE International Conference on Computer VisionWorkshops
 Distilling the knoWledge in a neural netWork,2015, arXivpreprint arXiv:1503
 Labeled faces in the Wild:A database forstudying face recognition in unconstrained environments,2008, 2008
 The megafacebenchmark: 1 million faces for recognition at scale,2016, In Proceedings of the IEEE conference oncomputer vision and pattern recognition
 Sphereface: Deephypersphere embedding for face recognition,2017, In Proceedings of the IEEE conference on computervision and pattern recognition
 Structuredknowledge distillation for semantic segmentation,2019, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition
 Towards flops-constrained face recognition,2019, In Proceedings of the IEEE InternationalConference on Computer Vision Workshops
 Iarpa janus benchmark-c: Facedataset and protocol,2018, In 2018 International Conference on Biometrics (ICB)
 A data-driven approach to cleaning large face datasets,2014, In 2014IEEE international conference on image processing (ICIP)
 Knowledge distillation for semantic segmentation using chan-nel and spatial correlations and adaptive cross entropy,2020, Sensors
 Correlation congruence for knowledge distillation,2019, In Proceedings of the IEEEInternational Conference on Computer Vision
 L2-constrained softmax loss for discrimi-native face verification,2017, arXiv preprint arXiv:1703
 Fitnets: Hints for thin deep nets,2014, arXiv preprint arXiv:1412
 Frontal to profile face verification in the wild,2016, In 2016 IEEE Winter Conferenceon Applications of Computer Vision (WACV)
 Additive margin softmax for face verifica-tion,2018, IEEE Signal Processing Letters
 Kdgan: Knowledge distillation with genera-tive adversarial networks,2018, In Advances in Neural Information Processing Systems
 Iarpa janus benchmark-b facedataset,2017, In Proceedings of the IEEE Conference on Computer Vision and Pattern RecognitionWorkshops
 Principal component analysis,1987, Chemometrics andintelligent laboratory systems
 Paying more attention to attention: Improving the perfor-mance of convolutional neural networks via attention transfer,2016, arXiv preprint arXiv:1612
