title,year,conference
 Statistical mechanics of complex networks,2002, Reviews ofmodern physics
 Fast depth-based subgraph kernels for unattributed graphs,2016, PatternRecognition
 Emergence of scaling in random networks,1999, science
 Laplacian eigenmaps and spectral techniques for embedding andclustering,2002, In NIPS
 Analysis of representations fordomain adaptation,2007, In NIPS
 Spectral networks and locallyconnected networks on graphs,2014, In ICLR
 Fastgcn: fast learning with graph convolutional networks viaimportance sampling,2018, In ICLR
 Spectral graph theory,1997, Number 92
 Convolutional neural networks ongraphs with fast localized spectral filtering,2016, In NIPS
 Bert: Pre-training of deepbidirectional transformers for language understanding,2019, In ACL
 Model-agnostic meta-learning for fast adaptation ofdeep networks,2017, In ICLR
 A note on von neumann’s trace inequalitv,1991, Mathematische Nachrichten
 Inductive representation learning on large graphs,2017, InNIPS
 Wavelets on graphs via spectralgraph theory,2011, ACHA
 Deep residual learning for imagerecognition,2016, In CVPR
 Learning deep representations by mutual information estimationand maximization,2019, In ICLR
 Pre-training graph neuralnetworks for generic structural feature extraction,2019, arXiv preprint arXiv:1905
 Gpt-gnn: Generativepre-training of graph neural networks,2020, In KDD
 Adaptive sampling towards fast graphrepresentation learning,2018, In NIPS
 Cauchy’s interlace theorem for eigenvalues of hermitian matrices,2004, The AmericanMathematical Monthly
 Universal invariant and equivariant graph neural networks,2019, InNIPS
 Variational graph auto-encoders,2016, arXiv preprint arXiv:1611
 Graph normalizing flows,2019, InAdvances in Neural Information Processing Systems
 Birds ofa feather: Homophily in socialnetworks,2001, Annual review of sociology
 Distributed representationsof words and phrases and their compositionality,2013, In NIPS
 Graph representation learning via graphical mutual information maximization,2020, In WWW
 Deepwalk: Online learning of social representa-tions,2014, In KDD
 Optimization as a model for few-shot learning,2017, In ICLR
 struc2vec: Learning noderepresentations from structural identity,2017, In KDD
 Yago: a core of semantic knowledge,2007, InΨWW
 Infograph: Unsupervised and semi-supervised graph-level representation learning via mutual information maximization,2019, In ICLR
 Line: Large-scaleinformation network embedding,2015, In WWW
 A global geometric framework fornonlinear dimensionality reduction,2000, Science
 Graph attention networks,2018, In ICLR
 Deep graph infomax,2019, In ICLR
 Matching networks for one shotlearning,2016, In NIPS
 Unsupervised domainadaptive graph convolutional networks,2020, In WWW
 Embedding entities andrelations for learning and inference in knowledge bases,2014, arXiv preprint arXiv:1412
 Conditional structure generationthrough graph variational generative adversarial nets,2019, In NIPS
 In Section B,2014,1
