title,year,conference
 Image recognition using mlmvn and frequency domain features,2018, In 2018International Joint Conference on Neural Networks (IJCNN)
 Geometric techniques for roboticsand hmi: Interpolation and haptics in conformal geometric algebra and control using quaternion spike neural net-works,2018, Robotics and Autonomous Systems
 Large scale machine learning,2004, Technical report
 Deep quatertion networks,2018, In 2018 International Joint Conference on NeuralNetworks (IJCNN)
 Understanding the difficulty of training deep feedforward neural networks,2010, InProceedings ofthe Thirteenth International Conference OnArtificial Intelligence and Statistics
 Deep residual learning for image recognition,2015, arXivpreprint arXiv:1512
 Delving deep into rectifiers: Surpassing human-levelperformance on imagenet classification,2015, In Proceedings of the IEEE international conference on computer vision
 Batch normalization: Accelerating deep network training by reducing internalcovariate shift,2015, arXiv preprint arXiv:1502
 Kaggle dstl satellite imagery feature detection,2020, https Wwwkagglecomcdstlsatelliteimageryfeaturedetection
 Adam: A method for stochastic optimization,2014, arXiv preprint arXiv:14126980
 Learning multiple layers of features from tiny images,2009, Technical report
 A new scheme for colornight vision by quaternion neural network,2004, In Proceedings of the 2nd International Conference on AutonomousRobots and Agents
 Deep quaternion neural networks for spoken languageunderstanding,2017, In 2017 IEEE Automatic Speech Recognition and Understanding Workshop (ASRU)
 Quaternion denoising encoder-decoder for theme identi-fication of telephone conversations,2017, Proc
 Quaternion recurrent neural networks,2018, arXiv preprint arXiv:1806
 Quaternion convolutional neural networks for end-to-end automatic speech recognition,2018, arXiv preprintarXiv:1806
 A survey of quaternion neural networks,2020, ArtificialIntelligence Review
 Deep complex networks,2018, arxiv 2018
 No reference psnr estimation for compressed pictures,2004, SignalProcessing: Image Communication
 Image quality assessment: from error visibilityto structural similarity,2004, IEEE transactions on image processing
