title,year,conference
 Invariant risk min-imization games,2020, arXiv preprint arXiv:2002
 Recognition in terra incognita,2018, In Proceedings ofthe European Conference on Computer Vision (ECCV)
 Learning independent features with adversarial nets for non-linear ica,2017, arXiv preprint arXiv:1710
 Random forests,2001, Machine learning
 Reducing overfit-ting in deep networks by decorrelating representations,2015, arXiv preprint arXiv:1511
 Autonomous skill discovery with quality-diversity and unsupervised descriptors,2019, InProceedings of the Genetic and Evolutionary Computation Conference
 Quality and diversity optimization: A unifying modular frame-work,2017, IEEE Transactions on Evolutionary Computation
 Greedy function approximation: a gradient boosting machine,2001, Annals ofstatistics
 Auto-encoding total correla-tion explanation,2019, In The 22nd International Conference on Artificial Intelligence and Statistics
 In search of lost domain generalization,2020, arXiv preprintarXiv:2007
 Mgan: Training generative adversarialnets with multiple generators,2018, In International Conference on Learning Representations
 Disentangling by factorising,2018, In International Conference onMachine Learning
 Out-of-distribution generalization via risk extrapolation,2020, arXivpreprint arXiv:2003
 Determinantal point processes for machine learning,2012, arXiv preprintarXiv:1207
 Priors for diversity in generative latent variable models,2012, InAdvances in Neural Information Processing Systems
 Ensemble learning via negative correlation,1999, Neural networks
 Diversity networks: Neural network compression using determinantalpoint processes,2015, arXiv preprint arXiv:1511
 Illuminating search spaces by mapping elites,2015, arXiv preprintarXiv:1504
 Representation learning with contrastive predic-tive coding,2018, arXiv preprint arXiv:1807
 Improving adversarial robustness viapromoting ensemble diversity,2019, In International Conference on Machine Learning
 Effective di-versity in population-based reinforcement learning,2020, arXiv preprint arXiv:2002
 Elements ofcausal inference: foundationsand learning algorithms,2017, MIT press
 On variationalbounds of mutual information,2019, In International Conference on Machine Learning
 Quality diversity: A new frontier for evolu-tionary computation,2016, Frontiers in Robotics and AI
 Datasetshift in machine learning,2009, The MIT Press
 Ensemble-based classifiers,2010, Artificial Intelligence Review
 Fashion-mnist: a novel image dataset for benchmark-ing machine learning algorithms,2017, arXiv preprint arXiv:1708
 Diversifying restricted boltzmann machine for documentmodeling,2015, In Proceedings of the 21th ACM SIGKDD International Conference on KnowledgeDiscovery and Data Mining
