title,year,conference
 Template based semantic similarity for security applications,2005, In International Conferenceon Intelligence and Security Informatics
 Simgnn: A neuralnetwork approach to fast graph similarity computation,2019, In WSDM
 Asubgraph isomorphism algorithm and its application to biochemical data,2013, BMC bioinformatics
 M-finder: Uncoveringfunctionally associated proteins from interactome data integrated with go annotations,2013, Proteomescience
 Structural matching in computer vision usingprobabilistic relaxation,1995, PAMI
 Graph-based technologies for intelligenceanalysis,2004, Communications of the ACM
 Retrosynthesis prediction withconditional graph logic network,2019, In NeurIPS
 Deep graphmatching consensus,2020, In ICLR
 Matching structure and semantics: A survey on graph-based pattern matching,2006, InAAAI Fall Symposium
 Structure-mapping: A theoretical framework for analogy,1983, Cognitive science
 Neuralgraph matching networks for fewshot 3d action recognition,2018, In ECCV
 Inductive representation learning on large graphs,2017, InNeurIPS9 2017
 Graph matching networksfor learning the similarity of graph structured objects,2019, In ICML9 2019
 Isorankn: spectralmethods for global alignment of multiple protein networks,2009, Bioinformatics
 A fast projected fixed-point algorithm for large graphmatching,2012, arXiv preprint arXiv:1207
 Partial order embedding with multiple kernels,2009, In ICML
 Thegraph neural network model,2008, IEEE Transactions on Neural Networks
 Reasoning with neural tensornetworks for knowledge base completion,2013, In NeurIPS
 Efficient subgraph matchingon billion node graphs,2012, Proceedings of the VLDB Endowment
 Probabilistic embedding Ofknowledgegraphs with box lattice measures,2018, ACL
 Learning combinatorial embedding networks fordeep graph matching,2019, In ICCV9 2019
 Object categorization by learned universal visualdictionary,2005, InZCCV
 Relation-awareentity alignment for heterogeneous knowledge graphs,2019, 2019
 Cross-Iingualknowledge graph alignment via graph matching neural network,2019, 2019
 Deep graphical feature learning for the feature matching problem,2019, InICCV
